,t_statistic,p_value
No Brush vs Sparse Brush,-0.6951132832138817,0.5252508355282935
No Brush vs Dense Brush,5.145991614979006,0.006763178598421018
No Brush vs Star Brush,5.002231138467442,0.007478621832735977
Dense Brush vs Star Brush,-2.1982839127297016,0.09283012334056241
