,Batch,Condition,FFT Average,FFT Average (smoothed),Spacing / nm,Transform
0,1,1,22.59978648262539,18.59612137489789,13.647929335204408,8
1,1,1,15.855014553451303,19.325200347172085,12.794933751754133,8
2,1,1,17.54045917062326,19.496248680681077,12.042290589886242,8
3,1,1,25.005635288816475,19.669733885996077,11.373274446003673,8
4,1,1,25.243734088238305,19.795657993565218,10.774681054108743,8
5,1,1,23.365512291500256,20.586594692875046,10.235947001403307,8
6,1,1,12.693005457672616,21.462584024380416,9.748520953717435,8
7,1,1,33.172161705483155,20.506650165029583,9.305406364912097,8
8,1,1,20.83434055175251,21.6029106905087,8.900823479481137,8
9,1,1,18.923771880821235,22.05898936247131,8.529955834502756,8
10,1,1,25.480221965930273,21.60250010837358,8.188757601122646,8
11,1,1,12.94530663360722,21.883058494264983,7.873805385694851,8
12,1,1,23.21950360802777,21.005378507990603,7.582182964002449,8
13,1,1,26.068392124551185,21.674877512952097,7.311390715288076,8
14,1,1,15.295287163490348,22.450144145127364,7.059273794071246,8
15,1,1,19.005975345503497,21.56738522464317,6.823964667602204,8
16,1,1,24.7973468509373,21.000316248030916,6.603836775098907,8
17,1,1,23.839213500720696,21.130483026161553,6.3974668758770665,8
18,1,1,31.2789784574061,22.14377466643865,6.203604243274731,8
19,1,1,29.656188512763265,21.97166709843165,6.021145294943121,8
20,1,1,22.801500932378705,22.77365327670535,5.849112572230461,8
21,1,1,33.54169703394414,23.126174099574214,5.686637223001837,8
22,1,1,38.064940697537004,23.859035469393657,5.532944325082869,8
23,1,1,37.63192754945634,26.142638566114545,5.387340527054372,8
24,1,1,20.361642235554832,27.452858924426234,5.249203590463234,8
25,1,1,26.032962048543407,26.934063479972018,5.117973500701654,8
26,1,1,20.641757571395143,27.91021574224957,4.99314487873332,8
27,1,1,43.68861453729848,28.05892321733063,4.874260476858717,8
28,1,1,34.48362034315152,29.77631118881801,4.76090558204805,8
29,1,1,34.379490595712106,30.743984538129897,4.652703182456048,8
30,1,1,29.732333002700095,31.025849277975905,4.5493097784014696,8
31,1,1,27.215834224844496,31.0327715043338,4.450411739740568,8
32,1,1,14.845932911794511,31.4340745309216,4.355722128256726,8
33,1,1,14.407199882635135,29.734459610726176,4.264977917251378,8
34,1,1,28.767629991819298,27.583755900280554,4.177937551593186,8
35,1,1,22.35863117285777,26.777910667768094,4.094378800561323,8
36,1,1,16.385900551274325,26.959455116613814,4.014096863295414,8
37,1,1,14.965270128010491,26.082449525952985,3.9369026928474256,8
38,1,1,19.452862265981565,25.566405212918017,3.8626215099635117,8
39,1,1,15.389877870547968,23.363155006434667,3.7910914820012245,8
40,1,1,14.475585249804482,21.627360236197976,3.7221625459648386,8
41,1,1,12.978375764729552,19.817914295660923,3.655695357644038,8
42,1,1,18.02342008759667,18.294827274027234,3.5915603513695813,8
43,1,1,13.822862671391642,17.45915326155016,3.529636897035623,8
44,1,1,13.033688044380877,17.36614687605899,3.4698125428485787,8
45,1,1,12.215276551693481,17.24128216349042,3.411982333801102,8
46,1,1,17.81752603345728,15.73652275984262,3.356048197181412,8
47,1,1,11.692192687972563,15.323695019897121,3.3019183875494535,8
48,1,1,14.408749682299657,14.896994305051505,3.2495069845724784,8
49,1,1,18.58801888766538,14.846401537259613,3.1987334379385333,8
