Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,Sample G1,,Sample G2,,Sample G3,,Sample G4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
9.008333206,128.9613953,9.043811798,89.76882172,9.080249786,61.39966583,9.115563393,440.3942261,9.262457848,143.1005249,9.227041245,95.50972748,9.191562653,58.29076767,9.155395508,444.086731,9.301896095,116.6015549,9.338229179,83.88156128,9.374375343,57.41131592,9.410396576,415.245697,
10.00833321,131.6808472,10.04437447,89.32263947,10.07979107,62.41426086,10.11656284,445.8021545,10.26437473,142.8053284,10.22787476,96.83032227,10.19287491,58.17939377,10.1576252,446.2850952,10.3060627,116.5145416,10.34141636,84.58676147,10.37789631,56.83551407,10.41339588,413.3625793,
11.00833321,131.2556,11.04387474,89.7930069,11.08037472,61.64070892,11.11572838,445.4211121,11.26322937,141.7571259,11.22720814,95.69600677,11.1930418,58.87240219,11.15756226,449.0689087,11.30222893,116.4063492,11.33729172,85.11919403,11.37258339,57.77482986,11.40856266,413.7299805,
12.00833321,134.1348114,12.0443964,89.51203918,12.08047867,60.98587418,12.11572838,447.835968,12.26239586,141.4274597,12.22695827,96.53650665,12.19087505,58.47173309,12.1555624,445.8702698,12.30354214,115.524498,12.3387289,85.5851059,12.37504196,57.88936234,12.4104166,412.641571,
13.00833321,133.4762421,13.04537487,89.28278351,13.08129215,61.83715439,13.11739635,445.7010498,13.2666254,142.8864746,13.2302084,96.1633606,13.19470787,58.78546524,13.15870857,449.1654968,13.30620861,115.778389,13.34164619,84.43001556,13.37556267,57.31491089,13.41172886,415.2937622,
14.00833321,132.7858582,14.0432291,89.29840851,14.07854176,61.65180588,14.11504173,445.2960205,14.26289558,142.4053955,14.22645855,96.00750732,14.19039631,58.73825073,14.15458393,444.9729919,14.30147934,117.4531021,14.33791733,85.71343994,14.37325001,56.87001801,14.40937519,414.8243713,
15.00833321,134.2799988,15.04320908,89.79666138,15.07954216,61.42699051,15.11487484,450.3477173,15.26114559,142.1160126,15.22570801,95.63835907,15.1902914,58.56129456,15.15437508,443.9521484,15.30254173,117.1990891,15.33887577,85.90634155,15.37512493,57.66326904,15.41020775,416.0487061,
16.00833321,136.0086365,16.04295921,89.74019623,16.07879066,61.32555008,16.11487579,444.0565796,16.26162529,141.9103851,16.22570801,96.33602142,16.1905632,58.14816284,16.15406227,443.5704346,16.30298042,117.6583481,16.33831215,86.22205353,16.374897,57.76514053,16.41091728,416.4366455,
17.00833321,135.6686249,17.04354095,89.21295166,17.07889557,61.53623581,17.11456299,446.0947876,17.26256371,142.9399567,17.2264595,96.77323151,17.19106293,58.12760925,17.15579224,445.6640625,17.30381203,118.7994232,17.33906174,86.04788208,17.3752079,57.33815765,17.41031265,415.8478699,
18.00833321,135.1484375,18.04356194,89.9601059,18.07906342,61.06592941,18.11441612,447.1329346,18.26329231,142.4010162,18.22681236,95.84957123,18.19139671,59.22888565,18.15595818,446.9110718,18.30472755,118.6442566,18.3394165,86.92443848,18.37537384,57.79030228,18.41172981,419.7791138,
