Sample A4,,Sample A5,,Sample A6,,Sample B4,,Sample B6,,Sample B7,,Sample C4,,Sample C5,,Sample C6,,Sample D4,,Sample D5,,Sample D6,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,29.31997108,0.02237499878,10.18151379,0.04287499934,272.7095032,0.1184583381,29.9572258,0.09070833772,374.162384,0.06937500089,11.60628414,0.1437083334,29.43718719,0.1645416766,9.281247139,0.1857083291,317.2763977,0.253916651,36.96592331,0.2325833291,9.170667648,0.2112500072,392.7547607,
1.000833273,28.75436401,1.021270871,10.52973938,1.042604208,297.6320801,1.117958307,28.54514885,1.090020895,345.2348633,1.06893754,11.19441986,1.144250035,28.02675819,1.165270925,9.494766235,1.186291575,310.4150085,1.254770756,35.01316452,1.233250022,8.425814629,1.213249922,377.505249,
2.000833273,29.36219788,2.021354198,10.19562244,2.042104244,334.6064148,2.117624998,29.7892952,2.089583397,352.7331543,2.06893754,10.76021481,2.143916607,28.93841743,2.164937496,9.753649712,2.186437368,317.7279053,2.252270699,33.74501419,2.230937481,8.793355942,2.210770845,354.2155457,
3.000833273,29.13673019,3.021354198,9.800878525,3.042083263,345.7496338,3.116104126,28.0274353,3.08962512,337.218689,3.068270922,10.71556377,3.142437458,27.70723724,3.163083315,9.243770599,3.184249878,326.7328491,3.252937555,36.66474152,3.231604338,9.018263817,3.210416555,328.369751,
4.000833511,29.07405663,4.022270679,9.702273369,4.043583393,336.0178833,4.117125034,29.67700768,4.08860445,338.2320557,4.068104267,11.30484295,4.143750191,29.0243206,4.164083481,9.472813606,4.185020924,339.1326294,4.25124979,37.06136322,4.230583668,8.708548546,4.210021019,336.3020325,
5.000833035,29.01055527,5.020270824,10.4589262,5.041291714,327.5198364,5.117833614,29.36491585,5.089083195,341.7536316,5.068583012,10.86017609,5.142250061,28.62960243,5.162750244,9.007980347,5.184270859,340.4436646,5.24974966,36.91700363,5.229083061,8.423615456,5.208687305,341.6978455,
6.000833035,31.71218872,6.021270752,9.905115128,6.04260397,322.882782,6.117770672,30.06699562,6.089583397,338.4326172,6.068583012,10.70588493,6.144354343,29.19390297,6.165166855,9.259713173,6.186083317,330.3419495,6.254292011,37.52378845,6.233083248,9.358712196,6.212770462,336.1052551,
7.000833035,28.83518982,7.021437645,9.926578522,7.042291641,304.7708435,7.116354465,30.55104446,7.087249756,340.8412781,7.06675005,10.4294138,7.141916752,28.38325691,7.162937641,8.935592651,7.184124947,323.1006165,7.252916336,36.89021301,7.231854439,9.1104002,7.210667133,337.2481384,
8.000833511,29.2832737,8.021916389,10.78821564,8.042499542,307.9797363,8.11710453,30.18630981,8.088687897,339.9803772,8.067667007,10.48419666,8.142791748,28.85303688,8.163624763,9.645976067,8.184916496,332.1889648,8.251083374,39.99528885,8.230583191,9.07233429,8.208916664,325.1723022,
9.000833511,29.13562775,9.020625114,10.10085392,9.041604996,310.2657776,9.117833138,28.82305145,9.089082718,335.1953735,9.06791687,10.89698315,9.142437935,29.01859093,9.162917137,8.819963455,9.183938026,317.1448975,9.252604485,38.53190613,9.231249809,9.425553322,9.210083008,328.6271667,
10.00083351,29.25951958,10.02125072,9.947902679,10.04277039,305.5878296,10.11824989,28.84223366,10.08960342,341.5631104,10.0689373,11.24739552,10.14460468,29.05717468,10.16524982,9.124505043,10.18633366,334.7523193,10.25535393,41.0586853,10.2336874,9.159719467,10.21275043,320.241333,
11.00083351,29.65232658,11.02149963,10.18934727,11.04249954,313.3237305,11.11791706,30.15645599,11.0901041,330.8322754,11.06891727,11.05078793,11.1442709,29.26509476,11.16583347,8.981511116,11.18675041,334.178772,11.25450039,42.20614243,11.23412514,8.685838699,11.21293736,314.2688904,
12.00083351,28.95098495,12.02112484,9.964259148,12.04216671,321.3432617,12.1151247,29.47290993,12.08710384,331.3206787,12.06624985,11.00469017,12.14024925,27.70363998,12.16143799,8.949500084,12.182271,331.8269043,12.25091648,41.20924377,12.23002148,8.40250206,12.20885372,318.3244324,
13.00083351,30.78037834,13.0209589,9.816111565,13.0413332,325.0234985,13.11775017,29.56667519,13.08879185,330.8586121,13.0679369,10.55589485,13.14377022,29.09045219,13.16427135,9.283143997,13.1856041,328.6402283,13.25325012,40.8667984,13.232687,9.074495316,13.21129131,329.8650818,
14.00083351,29.23021507,14.02227116,10.72184753,14.04327106,311.2330627,14.11727047,30.39352989,14.0884161,325.9117432,14.0679369,11.26353741,14.14324951,28.62895393,14.16395855,9.385617256,14.18525028,334.6818848,14.25458336,41.76647949,14.23302078,8.842463493,14.21212482,319.4910889,
15.00083351,28.98996353,15.02212524,9.785424232,15.04316711,310.0854492,15.11610413,28.89929771,15.08795834,322.3760071,15.06766701,11.7167244,15.14283371,27.9978466,15.16385365,9.691234589,15.18508339,329.7095337,15.25293827,42.12194061,15.23243713,9.467823029,15.21143818,314.2155457,
16.00083351,28.59301567,16.02177048,10.30824375,16.04291725,312.5458984,16.11925125,29.64946938,16.090271,319.26474,16.06960487,10.45776367,16.14391708,29.02221298,16.16424942,8.817155838,16.18575096,327.0918579,16.25150108,41.83650208,16.23033333,9.601027489,16.21012497,312.910553,
17.00083351,30.27863121,17.02208328,9.890856743,17.04308319,310.9082947,17.11852074,30.83272743,17.090271,323.6187439,17.06910324,10.56573486,17.14491653,28.9307785,17.16625023,9.273855209,17.1867485,330.1925964,17.25341606,44.38077927,17.23241615,9.148531914,17.21175003,318.5603333,
18.00083351,30.14499474,18.02166748,10.37127495,18.04277229,305.9543152,18.11925125,29.22812843,18.09060478,331.234375,18.06943703,10.61240578,18.14560318,29.52117729,18.16693687,9.10904026,18.18743706,325.9345398,18.25558281,42.52703857,18.23508263,8.452043533,18.21402168,318.0903931,
19.00083351,30.81223297,19.02158356,10.19820213,19.04208374,302.681366,19.11777115,29.60440254,19.08950043,319.9169312,19.06843758,10.92689133,19.14426994,29.83467484,19.16560555,9.365084648,19.18625069,332.1980896,19.25352097,43.0365181,19.23158455,9.187692642,19.21112442,315.2687683,
20.00083351,31.07882118,20.02102089,9.932109833,20.04174995,301.3831787,20.11577225,29.61313438,20.08691597,325.5623169,20.06658363,11.27205563,20.13968658,28.6102047,20.16085434,9.699009895,20.18208504,327.5467834,20.25024986,44.66054916,20.22958374,8.782829285,20.20825005,311.2310181,
21.00083351,29.25808144,21.02099991,9.659701347,21.04235458,305.6263428,21.11645889,29.94290161,21.08825111,332.4998779,21.06658363,10.7217617,21.14033318,28.94145393,21.1618557,9.866786003,21.18249893,330.0296021,21.24866676,44.00933456,21.22835541,8.524438858,21.20708466,314.7611389,
22.00083351,30.70945358,22.02127075,10.42404079,22.04160309,300.8119812,22.11691666,29.22285461,22.08918571,320.0533142,22.06783295,11.5491991,22.14141655,28.75873566,22.1621666,9.67900753,22.18393707,332.3449097,22.25191689,44.20795441,22.23043823,9.063801765,22.20962524,326.5317383,
23.00083351,30.79141617,23.0217514,10.02117634,23.04224968,304.691925,23.11829185,29.59355164,23.08945847,320.4262085,23.06912422,10.69468403,23.14262581,28.10435295,23.16327095,9.543352127,23.18460464,327.332489,23.25262451,46.33349991,23.23185349,9.370111465,23.2108345,318.1375122,
24.00083351,30.54241753,24.0217514,10.28683853,24.04241753,308.2349548,24.11543846,29.63466072,24.08708382,317.1405334,24.06643677,10.92917442,24.14268875,28.07728004,24.16300011,9.248118401,24.1843338,332.5593262,24.25183296,45.07818222,24.23066521,8.224506378,24.21008301,314.0517578,
25.00083351,30.02046967,25.02160454,10.48384571,25.04277229,310.1375732,25.11691666,29.33636856,25.08833504,319.6031494,25.06729126,11.2903738,25.14143753,29.12852287,25.16210365,8.963086128,25.18262482,329.7254944,25.24993706,47.49375534,25.22852135,8.859163284,25.20816612,312.143219,
26.00083351,30.35749054,26.02129173,9.825248718,26.04250145,310.9476624,26.11641693,28.84042358,26.08833504,325.7401733,26.06733322,11.6027441,26.1412487,28.79886246,26.16158295,9.592823982,26.18225098,331.7921753,26.2507515,47.99729156,26.22943687,9.170332909,26.20893669,314.0034485,
27.00083351,29.80890846,27.02127075,11.34554958,27.04260445,300.0878296,27.11602211,29.82587624,27.08758354,324.3637085,27.06708336,10.64983082,27.14258385,28.14406204,27.16324997,9.070833206,27.18441582,328.3765259,27.25091743,47.37235641,27.22960472,8.905772209,27.20841599,313.0649109,
28.00083351,30.85121536,28.02077103,10.66513729,28.04143715,310.1121826,28.11685371,30.065979,28.08866501,319.1690674,28.06799889,10.50518227,28.1421032,29.18165398,28.16293716,9.695269585,28.18425179,325.308075,28.24968719,47.78429413,28.22910309,8.777895927,28.20877075,312.4667664,
29.00083351,30.87498665,29.02093697,9.973849297,29.04143715,306.1670227,29.11527061,30.25301743,29.08716583,320.8798218,29.06666756,11.70941448,29.13933372,29.64160919,29.16085434,9.309819221,29.18149948,330.2077942,29.24951935,48.8207016,29.22858238,9.403844833,29.20785332,313.9031067,
30.00083351,30.5375309,30.02276993,10.16750908,30.04310417,308.4944458,30.11874962,29.29172707,30.0905838,312.9680786,30.06952095,11.35446548,30.14560318,28.74397469,30.1659584,9.050927162,30.1875,323.4607544,30.25374985,48.70645523,30.23260498,8.94882679,30.21235275,308.6152649,
31.00083351,29.62670135,31.02077103,10.71891308,31.04208374,302.0554504,31.11783218,28.78268242,31.08960342,320.5536499,31.06826973,11.37663651,31.14258385,28.07449722,31.16291618,9.372308731,31.18408394,328.0223694,31.25200081,50.15899658,31.230793,8.871979713,31.21043777,315.4492188,
32.00083542,30.92673874,32.02183533,10.04315472,32.04241562,302.8003845,32.11827087,29.15579033,32.08991623,316.9916992,32.06893539,10.86456871,32.1426239,29.45164871,32.16410446,9.839589119,32.18460464,315.2507935,32.25110626,48.86783218,32.23027039,9.247891426,32.20895767,308.9696045,
33.00083542,29.69626999,33.02241516,10.58861637,33.04258347,294.7731018,33.11668777,28.65325165,33.08843613,317.2827148,33.06710434,11.79947853,33.14141464,28.79550552,33.16208267,9.586414337,33.1824379,327.9468689,33.24941635,52.11263275,33.22874832,9.233689308,33.20774841,308.0802917,
34.00083542,31.13437271,34.02158356,10.1853447,34.04310608,305.1933289,34.11777115,29.85881805,34.0896225,321.1967468,34.06879044,11.47940063,34.14374924,28.73361206,34.16524887,9.105426788,34.18616486,316.9454956,34.25416565,51.11493301,34.23299789,8.956230164,34.21266556,314.3268127,
35.00083542,30.78595543,35.02129364,10.51006413,35.04243469,302.460968,35.11777115,29.58098984,35.08960342,319.305603,35.06827164,11.52630329,35.14383316,28.15480804,35.16508484,9.193437576,35.18566513,325.0710144,35.25400162,51.67591095,35.23325348,9.067634583,35.21208572,310.8291016,
