Sample A9_Ex509_Em563,,Sample A9_Ex509_Em660,,Sample A10_Ex509_Em563,,Sample A10_Ex509_Em660,,Sample A11_Ex509_Em563,,Sample A11_Ex509_Em660,,Sample A12_Ex509_Em563,,Sample A12_Ex509_Em660,,Sample B9_Ex509_Em563,,Sample B9_Ex509_Em660,,Sample B10_Ex509_Em563,,Sample B10_Ex509_Em660,,Sample B11_Ex509_Em563,,Sample B11_Ex509_Em660,,Sample B12_Ex509_Em563,,Sample B12_Ex509_Em660,,Sample C9_Ex509_Em563,,Sample C9_Ex509_Em660,,Sample C10_Ex509_Em563,,Sample C10_Ex509_Em660,,Sample C11_Ex509_Em563,,Sample C11_Ex509_Em660,,Sample C12_Ex509_Em563,,Sample C12_Ex509_Em660,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
4.501666546,364.2140198,4.508333206,100.2891769,4.533375263,338.3937683,4.540041447,86.74157715,4.564062595,315.2536011,4.570729256,124.5231018,4.59454155,395.460144,4.601208687,81.46820068,4.721895695,945.6849365,4.728562355,62.4177742,4.691375256,891.4082642,4.698041916,59.25769043,4.660874844,914.6442261,4.667541504,59.95901489,4.630395889,863.7874146,4.63706255,58.02224731,4.756541252,77.38718414,4.763208389,14.80146122,4.786541939,69.80182648,4.793208122,12.97895241,4.817375183,78.28952789,4.824041843,14.21705246,4.848374844,78.51038361,4.855041504,13.17679119,
5.001666546,365.7084045,5.008333206,97.87846375,5.033541679,334.6714172,5.04020834,83.60984039,5.063708305,313.7374268,5.070374966,121.5163116,5.09454155,388.3536682,5.101208687,83.33816528,5.2196455,957.5119019,5.22631216,61.28495026,5.189708233,908.9185791,5.196374893,59.67311478,5.159208298,904.8293457,5.165895462,60.8650856,5.128708363,866.7963867,5.135375023,59.06295013,5.255041599,76.93614197,5.261708736,14.86987114,5.286041737,72.04672241,5.292708397,12.81245041,5.316541672,80.73793793,5.323208332,14.62225056,5.347708225,77.40345764,5.354375362,13.13779831,
5.501666546,362.7878418,5.508333206,99.14006805,5.531791687,343.0499878,5.538458347,87.33393097,5.5633955,322.4125671,5.57006216,121.8141708,5.594041348,384.0542603,5.600708485,81.19403076,5.721979141,930.8606567,5.728645802,61.95600891,5.691541672,872.7971802,5.698208332,60.10586166,5.660375118,904.8980103,5.667041302,59.73752594,5.62970829,856.6101685,5.63637495,57.56090164,5.756041527,75.38967896,5.762708664,14.38904095,5.785979271,69.19889069,5.792645931,12.65283775,5.816562176,78.65572357,5.823228836,14.44408703,5.847708225,77.7265625,5.854375362,13.6413126,
6.001666546,370.7260437,6.008333206,98.66126251,6.032875061,340.2361145,6.039541721,84.98964691,6.063874722,316.6620789,6.070541859,121.0898285,6.094791889,397.935791,6.101458073,79.70313263,6.221374989,943.0196533,6.228041649,61.69408035,6.190875053,885.2246704,6.197541714,58.87453461,6.159874916,885.489502,6.166541576,60.83682632,6.128395557,860.4711304,6.135062695,57.75941467,6.256979465,78.28136444,6.263646126,14.50142765,6.288208485,69.24181366,6.294875145,12.29738331,6.318791866,77.31268311,6.32545805,13.6764698,6.349374771,76.97858429,6.356041431,14.04681301,
6.501666546,374.7881165,6.508333206,98.09252167,6.533041954,343.5308228,6.539708614,83.4151535,6.564229488,326.8556824,6.570895672,122.4604645,6.594708443,396.7774658,6.601374626,79.93906403,6.723207951,930.1367188,6.729896069,62.18495178,6.692875385,902.6815796,6.699541569,59.84067917,6.661645889,898.6277466,6.66831255,60.18537903,6.631228924,857.5352173,6.637895584,58.38473129,6.759707928,75.49552155,6.766375065,14.90947819,6.790374756,70.17957306,6.797041893,13.13254929,6.821208,78.96564484,6.82787466,13.48006535,6.851895809,77.59280396,6.858562946,13.1635046,
7.001666546,367.3447571,7.008333206,96.32023621,7.032729149,338.2063599,7.039395809,83.18172455,7.063874722,319.4376221,7.070541859,122.8153458,7.094041348,388.7691956,7.100708485,78.03278351,7.223374844,937.5706787,7.230041504,62.368927,7.192375183,901.8673096,7.199041843,59.9693985,7.161229134,929.7905273,7.167895794,61.47267151,7.130041599,851.6755371,7.136708736,59.02596664,7.258479118,76.89417267,7.265145779,14.41601563,7.288874626,71.32317352,7.295541763,12.67481899,7.318875313,79.54027557,7.325541496,13.62504959,7.350395679,77.15718842,7.35706234,13.33148956,
7.501666546,376.5604248,7.508333206,97.97009277,7.532062054,341.8114319,7.538729191,82.84633636,7.562312126,319.5171204,7.568979263,117.8981171,7.593291759,399.9212036,7.59995842,80.85596466,7.719041348,935.439209,7.725708485,62.66967392,7.688874722,885.8690796,7.695541859,60.13298035,7.658041954,907.5153809,7.664708614,60.26913452,7.627708435,852.9864502,7.634375095,58.06227112,7.753708363,78.34294128,7.760375023,14.61177349,7.783874989,69.62918091,7.79056263,12.8357935,7.814541817,79.48475647,7.821228981,13.82635021,7.84570837,78.5087738,7.852374554,13.16436386,
8.001667023,373.1037903,8.008333206,94.74672699,8.031874657,334.5086365,8.038562775,84.22176361,8.062874794,314.3388672,8.069540977,122.5432968,8.093375206,392.8277588,8.10006237,77.62926483,8.22195816,944.5533447,8.228625298,61.9065094,8.191708565,891.0106201,8.198374748,61.03512573,8.160374641,893.7947388,8.167062759,59.83800888,8.129729271,850.0881958,8.136395454,57.31946182,8.258479118,78.04367828,8.265146255,14.52362061,8.289708138,71.05602264,8.296375275,13.19726753,8.320979118,81.36834717,8.327646255,14.88639832,8.351312637,75.76081848,8.357979774,13.71708679,
8.501667023,382.8251953,8.508333206,96.68183899,8.533478737,342.4247437,8.540145874,80.3489151,8.564124107,327.0923462,8.570791245,119.8894501,8.594875336,395.7531738,8.601542473,76.89383698,8.72237587,938.1517944,8.729063034,62.6629982,8.691875458,898.3916626,8.698541641,58.81518936,8.660708427,880.3000488,8.667374611,60.76037979,8.630208015,867.704895,8.636875153,60.37742615,8.758874893,76.63990784,8.76554203,14.62794971,8.789042473,68.66101837,8.795708656,12.58745098,8.820208549,78.19078064,8.826874733,14.20580006,8.851208687,76.96903992,8.85787487,13.78848076,
9.001666069,384.0985107,9.008333206,95.71987915,9.031561852,336.1930542,9.038228989,80.06970215,9.062208176,315.2820435,9.06889534,121.5942307,9.093374252,392.8204346,9.100041389,75.52082062,9.221208572,922.8589478,9.227874756,62.13809204,9.191207886,897.9415894,9.197875023,61.28000641,9.15987587,906.9053345,9.166563034,60.9522438,9.128874779,862.572937,9.135541916,58.98162079,9.255791664,76.04673004,9.262457848,14.34674168,9.285895348,68.70373535,9.292562485,12.69258404,9.317229271,78.47187042,9.323896408,14.27212143,9.347208977,75.9120636,9.35387516,13.36934662,
