Sample D1,,Sample D2,,Sample D3,,Sample D5,,Sample D6,,Sample D7,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,117.8858185,0.02170833386,44.04682159,0.04220833257,152.2253723,0.07083333284,14.14801979,0.09200000018,6.019442558,0.1131666675,89.54660034,
0.1695000082,119.3993912,0.1909999996,43.80859375,0.2121458352,152.5965424,0.2396666706,14.42216587,0.2610000074,5.933134556,0.2820416689,90.3449173,
0.338062495,119.2781296,0.3584166467,43.54560852,0.3794166446,153.6884155,0.408374995,14.72855473,0.4295416474,6.095685959,0.4500416815,89.39302826,
0.5063750148,120.3858185,0.5269791484,44.27637482,0.5480416417,154.7777252,0.5766249895,14.2447319,0.5971458554,6.122426987,0.6180416942,88.25554657,
0.6733958721,117.8862228,0.6942291856,44.18278122,0.7157291174,156.8207092,0.7438749671,14.66253567,0.7652083039,5.849026203,0.7857083678,89.47872925,
0.8410833478,121.3320313,0.8627083302,44.97365952,0.8832083344,154.4129791,0.9117500186,14.06963348,0.9324166775,5.916211605,0.9536249638,90.57311249,
1.009374976,120.2090988,1.030062437,44.44773865,1.051395893,156.10466,1.080145717,14.45229626,1.100916624,5.897266388,1.121416688,88.43697357,

