Sample D1_Ex509_Em563,,Sample D1_Ex509_Em660,,Sample D2_Ex509_Em563,,Sample D2_Ex509_Em660,,Sample D3_Ex509_Em563,,Sample D3_Ex509_Em660,,Sample D4_Ex509_Em563,,Sample D4_Ex509_Em660,,Sample E1_Ex509_Em563,,Sample E1_Ex509_Em660,,Sample E2_Ex509_Em563,,Sample E2_Ex509_Em660,,Sample E3_Ex509_Em563,,Sample E3_Ex509_Em660,,Sample E4_Ex509_Em563,,Sample E4_Ex509_Em660,,Sample F1_Ex509_Em563,,Sample F1_Ex509_Em660,,Sample F2_Ex509_Em563,,Sample F2_Ex509_Em660,,Sample F3_Ex509_Em563,,Sample F3_Ex509_Em660,,Sample F4_Ex509_Em563,,Sample F4_Ex509_Em660,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
4.501666546,233.755661,4.508312702,168.1149902,4.532958508,336.3877258,4.539625168,184.5440521,4.562791348,201.2983704,4.569458485,153.6398163,4.593625069,250.8855743,4.600291252,156.1708984,4.720458508,770.2886353,4.727125168,54.7419281,4.690458298,627.5726318,4.697125435,46.34926224,4.659458637,638.4294434,4.666124821,47.60945129,4.629457951,731.0656128,4.636125088,51.34197235,4.756124973,92.37020111,4.762812138,18.05109787,4.786958218,80.20679474,4.793624878,15.34751129,4.816792011,74.3548584,4.823479176,14.18661594,4.847791672,88.11578369,4.854458332,15.32078457,
5.001666546,237.7111206,5.008312702,167.3308716,5.031624794,337.7842712,5.038291454,185.4226532,5.062458515,203.3166656,5.069124699,156.3244629,5.092458248,248.8547211,5.099145889,156.2344666,5.220124722,777.6793213,5.226791859,55.64970016,5.18945837,637.9327393,5.196124554,46.84475327,5.159458637,660.675415,5.166124821,46.97184372,5.128458023,721.5339966,5.135146141,52.57065582,5.253791809,94.2325058,5.260458469,18.06940651,5.284625053,80.56913757,5.291291714,14.7967968,5.31445837,74.6210556,5.321124554,14.18026352,5.345458508,89.66675568,5.352125168,15.74578285,
5.501666546,238.6703644,5.508312702,166.4166565,5.53195858,335.8046265,5.53862524,187.1655579,5.561958313,205.8908539,5.568624973,155.8957825,5.591958046,248.4436951,5.598646164,155.7333679,5.719291687,781.597229,5.725958347,55.01226425,5.68945837,641.1367798,5.696124554,47.09775925,5.658791542,658.1973877,5.665458202,46.72995758,5.627791882,720.5230713,5.634458542,51.18460846,5.755291939,91.83456421,5.761958122,17.89385605,5.786291599,81.14904022,5.792958736,14.72394848,5.816124916,75.80665588,5.822791576,14.65180302,5.847125053,87.85591125,5.853791714,16.12881851,
6.001666546,236.0101013,6.008312702,168.89151,6.032624722,340.774231,6.039291859,188.5510712,6.062624931,205.2233582,6.069291592,155.7553558,6.092458248,251.4402924,6.099125385,157.7893524,6.219958305,773.4244995,6.226624966,55.47774506,6.190124989,626.5200195,6.196791649,47.75322342,6.159291744,647.6224976,6.165957928,47.54460907,6.128291607,725.3580933,6.134958267,51.52069092,6.255958557,93.82984924,6.262625217,17.28088951,6.28595829,79.41265869,6.29262495,14.82352066,6.316957951,74.13864899,6.323625088,13.32213211,6.346958637,87.59588623,6.353624821,15.44894981,
6.501666546,236.6237946,6.508312702,168.8756714,6.532624722,338.8938599,6.539291859,189.1729279,6.563458443,202.0729065,6.570124626,157.5933075,6.593291759,251.3435822,6.59995842,159.5392151,6.720958233,778.710022,6.727624893,56.82365036,6.689958096,649.0673828,6.696624756,46.36352921,6.659124851,637.911438,6.665791988,47.8562088,6.629125118,727.1664429,6.635791302,51.75975037,6.755958557,92.748909,6.762646198,17.40844154,6.786958218,80.73739624,6.793624878,14.51211262,6.816957951,76.02579498,6.823625088,14.25274181,6.847958565,87.63332367,6.854624748,16.27543449,
7.001666546,243.4076385,7.008312702,166.1473846,7.031458378,335.2633972,7.038083553,186.9121704,7.062458515,203.993454,7.069124699,153.6485138,7.092458248,255.2178192,7.099125385,156.7612762,7.220291615,779.6798096,7.226958275,55.77051163,7.18945837,637.8204956,7.196124554,46.17946243,7.158458233,634.8334961,7.165124893,47.71902847,7.128458023,727.3079834,7.13512516,52.31123352,7.256291866,94.9730072,7.26295805,17.69753075,7.287291527,82.27279663,7.293958664,14.81861305,7.317291737,74.97155762,7.323958397,13.30965137,7.348291397,87.25527954,7.354958057,15.98975277,
7.501666546,245.8696442,7.508312702,171.4304047,7.533124924,342.1742859,7.539792061,185.9180756,7.564125061,204.4376373,7.570791721,156.1981506,7.594124794,261.9962158,7.600791454,156.5167389,7.720124722,784.7785645,7.726791859,55.36774063,7.689125061,635.012146,7.695812702,46.44953537,7.659124851,662.7109375,7.665791988,47.31700897,7.628125191,717.9709473,7.634791374,51.16653061,7.756124973,92.04329681,7.762791634,18.05138779,7.786125183,81.40678406,7.792791843,14.73510361,7.816124916,76.31978607,7.822791576,13.46881104,7.847125053,87.18351746,7.853791714,16.03019142,
8.001667023,244.6655426,8.008312225,171.4341125,8.033124924,341.896759,8.039792061,181.9062805,8.063124657,204.687027,8.069791794,155.9781799,8.093958855,259.0119629,8.100625038,157.1739807,8.221291542,762.6773682,8.227957726,54.67695236,8.190458298,643.1854248,8.197125435,46.41836166,8.160458565,644.1831665,8.167124748,46.99689102,8.129958153,723.0350952,8.13662529,52.56235123,8.256958961,90.73010254,8.263625145,18.27903557,8.286958694,80.68249512,8.293624878,15.11524105,8.317958832,77.49186707,8.324625015,14.5582943,8.347958565,87.39443207,8.354624748,15.96482468,
8.501667023,244.5964813,8.508312225,172.8094177,8.532458305,340.2153015,8.539124489,183.1791229,8.562458038,206.1248322,8.569125175,159.0666962,8.593291283,256.1787109,8.59995842,159.4615936,8.719125748,776.7397461,8.725790977,55.72467804,8.689291,635.8625488,8.695958138,45.87945557,8.659313202,640.5546875,8.665979385,47.02738953,8.628292084,702.776001,8.634958267,50.37717438,8.754958153,91.44924164,8.761645317,17.31435204,8.78595829,80.71911621,8.792624474,14.63326931,8.815958977,77.86782837,8.82262516,13.53002739,8.84695816,86.30917358,8.853625298,16.25593948,
9.001666069,250.5327454,9.008333206,171.0040131,9.032124519,335.6366882,9.038791656,185.0219879,9.061959267,204.5144806,9.068624496,155.2846069,9.092791557,261.4078674,9.099458694,157.7126617,9.219624519,768.8145142,9.226291656,54.48916245,9.189624786,647.0758057,9.196291924,47.17286682,9.159791946,656.6676636,9.166479111,47.78636932,9.128790855,712.9226685,9.135457993,52.93035889,9.25362587,92.71102142,9.2602911,17.96367073,9.283625603,82.13412476,9.290291786,14.48472118,9.314624786,76.31332397,9.321312904,13.62419128,9.344457626,87.41226196,9.351145744,16.10482407,
