Sample A1_Ex555_Em570,,Sample A1_Ex555_Em670,,Sample A2_Ex555_Em570,,Sample A2_Ex555_Em670,,Sample A3_Ex555_Em570,,Sample A3_Ex555_Em670,,Sample A4_Ex555_Em570,,Sample A4_Ex555_Em670,,Sample B1_Ex555_Em570,,Sample B1_Ex555_Em670,,Sample B2_Ex555_Em570,,Sample B2_Ex555_Em670,,Sample B3_Ex555_Em570,,Sample B3_Ex555_Em670,,Sample B4_Ex555_Em570,,Sample B4_Ex555_Em670,,Sample C1_Ex555_Em570,,Sample C1_Ex555_Em670,,Sample C2_Ex555_Em570,,Sample C2_Ex555_Em670,,Sample C3_Ex555_Em570,,Sample C3_Ex555_Em670,,Sample C4_Ex555_Em570,,Sample C4_Ex555_Em670,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
4.501666546,64.79559326,4.508416653,23.60494041,4.532603741,62.83700562,4.539353848,26.05149841,4.563624859,70.54299164,4.570374966,25.9022789,4.593937874,63.81235886,4.600687504,12.62802315,4.722104549,74.11646271,4.728854179,22.69767952,4.691124916,60.62223816,4.697875023,29.41607475,4.660542011,48.96766663,4.667271137,24.64844894,4.629770756,80.68984985,4.636499882,39.23561096,4.756124973,73.0018692,4.76287508,21.18043327,4.787541866,57.41463852,4.794270992,33.13794327,4.818020821,58.88584518,4.824770451,19.76504326,4.848104477,86.63088226,4.854854107,24.81102562,
5.001666546,66.71554565,5.008416653,22.83394814,5.033937454,59.01546097,5.040687561,29.5840168,5.064437389,61.97581482,5.071187496,24.90180206,5.094208241,71.71738434,5.100937366,10.56918812,5.221291542,71.60862732,5.228041649,26.88757896,5.190541744,54.57665253,5.19727087,29.49644852,5.160270691,50.10098648,5.167020798,35.42572403,5.129292011,87.31597137,5.136041641,34.15117645,5.255875111,67.57419586,5.262604237,29.41212463,5.285874844,54.46501923,5.29260397,32.2324791,5.317270756,53.61266708,5.324020863,24.04539871,5.347770691,82.93979645,5.354520798,23.86789513,
5.501666546,68.42720032,5.508416653,22.9668808,5.532770634,65.86636353,5.539520741,23.51659775,5.563104153,65.04170227,5.569833279,32.69250488,5.594208241,65.9332428,5.600937366,13.14898014,5.722041607,71.55893707,5.728770733,18.55933189,5.691103935,63.87138367,5.697854042,31.10420036,5.660375118,52.05024719,5.667104244,27.1240139,5.629937649,84.60284424,5.636687756,28.27039337,5.757604122,64.01885223,5.764353752,28.1450367,5.787625313,51.68906403,5.794374943,33.13798523,5.818770885,57.43848801,5.825520992,23.86201286,5.849104404,80.15689087,5.855854511,24.73569489,
6.001666546,57.58960724,6.008416653,25.92419434,6.032937527,58.76403427,6.039687634,32.42172623,6.063874722,61.98838043,6.070603848,32.27044678,6.094874859,58.49546051,6.101603985,14.3203764,6.220458508,78.24871826,6.227208614,27.29615021,6.190124989,61.14449692,6.196875095,41.63155746,6.158958435,54.80554199,6.165708542,32.14654922,6.128937244,91.25466156,6.135687351,30.54999733,6.256875038,68.82095337,6.263604164,27.90934181,6.288458347,56.02735519,6.295208454,34.16182709,6.318937778,46.30777359,6.325687885,23.21387863,6.350104332,79.12271881,6.356854439,24.00413132,
6.501666546,60.49448395,6.508416653,21.64463615,6.533270836,79.33063507,6.540020943,28.26649857,6.564208508,56.44665527,6.570937634,32.95391846,6.594708443,60.44787216,6.601437569,11.33710003,6.722937584,72.53220367,6.729687691,28.67548943,6.691437244,46.90884781,6.698187351,26.24847031,6.661208153,60.47524261,6.667937756,24.32648849,6.630208492,81.03927612,6.636937618,31.31757736,6.758770943,70.02797699,6.765520573,26.67067719,6.789541721,58.12601089,6.796270847,24.62174034,6.820104122,51.42394638,6.826853752,23.4330349,6.85077095,92.02416229,6.857521057,22.9425621,
7.001666546,67.12198639,7.008416653,22.03883743,7.032875061,50.52739716,7.039604187,29.67895889,7.06293726,70.31210327,7.069687366,30.98017311,7.094437599,51.94208527,7.101187706,14.27266502,7.222208023,64.63127136,7.228937149,26.56180382,7.191124916,57.20988846,7.197916508,28.69552422,7.160375118,51.46551895,7.167104244,30.80028534,7.130104065,92.5022049,7.136854172,31.43402863,7.256354332,67.87149048,7.263104439,34.44152069,7.286604404,52.44965744,7.293354511,32.97354126,7.317103863,43.97354507,7.32385397,27.60647583,7.347770691,89.21211243,7.354520798,21.16184616,
7.501666546,63.03604126,7.508416653,15.65834522,7.532937527,60.53200531,7.539687634,26.2510643,7.563271046,70.80718231,7.570021152,31.2286129,7.593874931,60.87158966,7.600604057,10.48249722,7.720603943,74.57859802,7.72735405,25.28902626,7.690104008,62.39095306,7.696854115,37.22468948,7.658791542,60.97803497,7.665583134,32.04012299,7.628208637,77.93115997,7.634937763,33.0054512,7.755937576,64.15367126,7.762687683,22.86821747,7.787937641,54.65291977,7.794687271,36.16310883,7.817687511,42.43493271,7.824437618,24.95537186,7.848104477,86.67813873,7.854854107,22.77148628,
8.001667023,76.05685425,8.00841713,23.38659096,8.031770706,53.22532272,8.038520813,28.21619415,8.062770844,73.96291351,8.06952095,30.53812218,8.093438148,57.53307343,8.100187302,11.30943394,8.219770432,63.04413986,8.226520538,24.16573715,8.189270973,57.47980118,8.19602108,32.96688843,8.158291817,48.83082962,8.165041924,30.35694695,8.12810421,88.69904327,8.134854317,31.95934296,8.25460434,67.15853119,8.261354446,26.76933098,8.284937859,52.21709442,8.291687965,29.00577164,8.315437317,59.28878784,8.322187424,28.88645744,8.345707893,85.34343719,8.352437019,21.57022476,
8.501667023,65.5973053,8.50841713,28.34288025,8.532771111,67.03097534,8.539521217,31.40512085,8.563687325,64.74952698,8.570437431,27.03437424,8.59454155,62.68810654,8.601291656,12.63962078,8.721270561,75.78124237,8.728021622,27.56454659,8.690438271,57.19706345,8.697187424,30.35445786,8.659770966,71.43972778,8.666521072,31.82720375,8.629458427,76.94068909,8.636208534,33.55561447,8.757291794,67.26977539,8.764041901,25.95331955,8.787438393,59.6121254,8.794187546,28.00102234,8.818604469,59.56415939,8.825353622,22.10334778,8.848937988,89.26718903,8.855687141,23.21884346,
9.001666069,67.34040833,9.00841713,21.39286423,9.033124924,58.92498016,9.039875031,25.61167526,9.063875198,61.6128273,9.070604324,26.62490082,9.093770027,73.0929718,9.100521088,10.74283695,9.220874786,68.23666382,9.227603912,35.74364471,9.189937592,57.04702377,9.196687698,20.71993065,9.158854485,63.0802803,9.165604591,28.8389473,9.12810421,81.05979919,9.134854317,33.86762238,9.255270004,80.32834625,9.262021065,28.51379013,9.285541534,49.65407562,9.292291641,32.12631989,9.315958977,51.38557053,9.32270813,29.25133324,9.347270966,79.39811707,9.354021072,19.23914146,
9.501666069,64.71957397,9.50841713,20.75024986,9.532271385,63.32827377,9.539020538,29.63498497,9.563437462,71.63841248,9.570187569,28.52607155,9.594125748,56.18648911,9.600874901,12.63517761,9.719937325,81.71001434,9.726687431,28.52176857,9.689457893,61.77537537,9.696208954,22.5768013,9.658770561,52.98520279,9.665521622,24.21852875,9.628437042,75.14577484,9.635188103,28.76186943,9.756604195,66.4127655,9.763354301,24.09345627,9.78745842,54.15158081,9.794208527,31.58585358,9.818437576,56.08789825,9.825186729,31.91856956,9.848937988,91.27127838,9.855687141,25.07105446,
10.00166607,66.34352875,10.00841713,25.5043354,10.03227139,60.61735916,10.03902054,22.55124474,10.06295872,66.73345184,10.06970787,23.45077324,10.09343815,78.5766449,10.1001873,10.31745052,10.22177124,71.81344604,10.22852039,24.60499001,10.19143772,59.40906143,10.19820881,28.4154377,10.16037464,58.99386597,10.16710377,28.29501343,10.12993813,83.99254608,10.13668728,28.26605225,10.25660419,65.58496857,10.2633543,22.1473465,10.28702068,52.55933762,10.29377079,28.24914551,10.31729126,49.29711151,10.32404137,30.18592072,10.34760475,90.69583893,10.3543539,19.52799225,
10.50166607,71.18358612,10.50841713,17.79830933,10.53329182,50.90021133,10.54004192,21.82718658,10.56352139,63.54389954,10.57027054,35.22766876,10.59510422,66.04091644,10.60185432,11.28061581,10.72218704,67.8299942,10.7289381,27.84763527,10.69227123,63.63647461,10.69902039,25.89972687,10.6612711,60.97909546,10.66802025,26.57585526,10.63077068,67.69049072,10.63752079,28.35577774,10.75654221,68.56339264,10.76327133,29.09810448,10.78693771,49.55535889,10.79368782,26.22930145,10.81770802,43.56657028,10.82445908,32.53380966,10.84787464,84.95155334,10.85460377,24.34546852,
11.00166607,67.71614838,11.00841713,20.29527092,11.032938,56.53026199,11.03968716,24.67047119,11.06362534,61.60411453,11.07037449,28.85849762,11.09477139,67.94792938,11.10152054,9.198249817,11.220541,78.0266571,11.22727013,29.78582382,11.19043827,60.7170105,11.19718742,29.22196198,11.15927124,64.58648682,11.16602039,30.94294357,11.12910461,86.38878632,11.13585377,29.63856697,11.25687504,64.90001678,11.26360416,31.3038311,11.2873745,69.55266571,11.29410362,27.27815819,11.31787491,54.35622025,11.32460403,21.46342659,11.34835434,91.3006134,11.35510445,21.86808968,
11.50166607,68.51566315,11.50841713,28.71580124,11.5331049,65.42571259,11.53985405,21.97639084,11.56329155,66.23458099,11.57004166,20.21170616,11.59377003,73.33538818,11.60052109,8.579481125,11.72204208,75.2210083,11.72877121,26.80409622,11.69110394,51.84331894,11.697855,23.8692379,11.65993786,58.10665131,11.66668701,27.04886627,11.63010502,100.6126251,11.63685417,33.22925949,11.75737476,75.5280838,11.76410389,33.56248856,11.78854179,55.96052551,11.79527092,31.47483253,11.81879139,52.53531265,11.8255415,24.37305832,11.85027027,78.5211792,11.85702133,26.24910355,
