Sample A10,,Sample A11,,Sample A12,,Sample B10,,Sample B11,,Sample B12,,Sample C10,,Sample C11,,Sample C12,,Sample D10,,Sample D11,,Sample D12,,Sample E10,,Sample E11,,Sample E12,,Sample F10,,Sample F11,,Sample F12,,Sample G10,,Sample G11,,Sample G12,,Sample H10,,Sample H11,,Sample H12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
9.000833511,54.7722168,9.021291733,9.417158127,9.042646408,291.1713867,9.110896111,52.46376038,9.089708328,8.547208786,9.069209099,307.6414795,9.135561943,52.42481995,9.156229973,8.037529945,9.176729202,348.8331604,9.244958878,73.41591644,9.224645615,8.60115242,9.203541756,286.8145752,9.272042274,56.39623642,9.29287529,7.946059227,9.313374519,287.1216736,9.379562378,56.82118607,9.359229088,7.359807491,9.337875366,277.6036072,9.404229164,55.38524246,9.425582886,6.711409569,9.445958138,289.0967102,9.513041496,91.10749817,9.491541862,7.768262863,9.470707893,298.8269348,
10.00083351,52.96395493,10.0215416,9.3400774,10.04220772,284.508728,10.11072922,52.19677353,10.08939648,7.786996365,10.06854153,304.3306885,10.13489628,55.23262787,10.15562534,7.902461052,10.17724991,352.6611328,10.24354172,71.33921051,10.22254086,8.454059601,10.20187473,291.2279053,10.27008343,57.89543533,10.29124928,8.063831329,10.31189537,282.8317871,10.3805418,55.88714981,10.359375,8.107315063,10.33804131,285.5258179,10.40520859,56.30702591,10.42556286,7.476937771,10.44672966,281.3366699,10.51291752,92.30781555,10.49179173,8.154828072,10.47125053,289.8814392,
11.00083351,53.838974,11.02204227,9.547310829,11.04304218,282.9960022,11.11089611,54.43278122,11.09041691,8.208529472,11.06958294,304.637207,11.13770866,54.73051834,11.1592083,7.769613743,11.18004131,343.8232727,11.24637413,72.4305191,11.2248745,8.229769707,11.20420837,286.1870117,11.2710619,57.341259,11.29189587,8.290088654,11.31272888,281.6782227,11.3812294,57.17682266,11.36024952,8.014341354,11.33929157,290.7084351,11.40729141,56.17757034,11.42864609,7.078355789,11.44937515,281.2611694,11.51797867,93.28575134,11.49664593,7.919327259,11.4758749,297.6841736,
12.00083351,52.49230576,12.02039623,9.34594059,12.04139614,283.0403442,12.10962486,53.71964264,12.08912468,8.119047165,12.06774998,311.300293,12.13637447,52.73075867,12.15706253,8.062916756,12.17837524,343.5422974,12.2440424,74.62000275,12.22354126,8.400230408,12.20270824,289.7160339,12.27091694,55.88617706,12.29129124,7.741459846,12.31245804,286.4362488,12.38104153,56.78877258,12.36020851,7.581235886,12.33904171,288.1365356,12.40789604,56.04454422,12.42822838,7.10804224,12.44972897,282.9144592,12.51572895,99.08135223,12.49508381,7.876072884,12.47375011,295.8434143,
13.00083351,52.18877792,13.0216465,9.505346298,13.04231262,284.4109192,13.11054134,52.21715164,13.08987522,8.548617363,13.06837463,305.2961731,13.13456249,52.42964554,13.15572929,7.574659824,13.17722893,334.4160767,13.24479198,76.89016724,13.22441673,8.832287788,13.20308304,284.1176758,13.2715416,55.76924515,13.29204178,8.066664696,13.31337452,283.5407104,13.37958336,53.86051941,13.35906315,8.07103157,13.33789539,288.7485046,13.40458393,55.39556122,13.42597961,7.717002869,13.44647884,289.7307434,13.51306248,96.27223969,13.49222946,7.848807812,13.47137451,289.0119629,
14.00083351,53.72633362,14.0213747,9.167084694,14.04170799,287.9022827,14.10875034,52.38407898,14.08706284,8.377158165,14.06672859,309.6237183,14.13537502,53.49060822,14.15670872,8.162614822,14.17787457,343.9963684,14.24431229,76.48508453,14.22329235,9.142492294,14.20208359,283.4993896,14.270895,57.9850769,14.29220772,7.71085453,14.31270885,285.8530273,14.38139534,54.22503281,14.36039639,7.834881783,14.33922958,288.6650696,14.40808296,55.38967133,14.42825031,7.643913269,14.44891644,282.4957886,14.51822948,96.43669891,14.4972086,8.429909706,14.47581291,292.3026733,
15.00083351,51.86296463,15.02108383,9.184033394,15.04162502,280.2937317,15.10920811,52.40615845,15.08870888,8.439834595,15.0680418,308.5921631,15.13570881,54.30856323,15.15672874,8.049855232,15.17787457,332.0732727,15.2435627,77.59918213,15.22270775,8.51236248,15.20170784,292.5341187,15.26845837,56.76252365,15.28962517,8.122428894,15.3101244,290.6602783,15.37870789,56.83869553,15.35787487,7.81965065,15.33670902,288.28125,15.40520859,57.01505661,15.42587471,7.051002979,15.44722939,278.1080627,15.51487541,96.15726471,15.49422932,7.326123714,15.47372913,286.4530334,
16.00083351,53.21810532,16.02189445,9.443144798,16.04220772,285.9693909,16.11006355,53.48574448,16.08922958,7.874946117,16.0687294,304.7111511,16.13472939,53.4908905,16.15556145,8.278609276,16.17687416,329.7997437,16.24339676,79.29331207,16.22206306,8.146315575,16.20156288,285.0224915,16.26997948,57.69340134,16.29104233,8.055784225,16.31197929,282.3950806,16.37764549,55.25854874,16.35687447,8.081751823,16.33654213,291.7995605,16.40420914,56.22492981,16.42495918,6.627144814,16.44606209,286.7420654,16.51456261,100.8164673,16.49308395,8.225439072,16.47272873,287.8659363,
17.00083351,52.63198853,17.02204132,9.242623329,17.04331207,284.1014404,17.10970879,53.12099457,17.08904266,8.625290871,17.06737518,303.1710815,17.13637543,54.00470352,17.15679169,7.967209339,17.17787552,327.6040955,17.24656105,77.84751892,17.22522926,8.286047935,17.20406342,279.1809082,17.27220917,56.32691574,17.29320908,9.171289444,17.31464577,286.2462463,17.38254166,56.20020294,17.36104202,8.080006599,17.34106255,288.3569946,17.4068737,55.26435089,17.4274807,7.797331333,17.44872856,278.6512756,17.51504135,100.9959335,17.49381256,7.939771652,17.47304153,285.9348145,
18.00083351,53.20315552,18.02304077,8.747182846,18.04358292,278.0761719,18.11187553,54.60116959,18.09122849,7.897034168,18.07014656,302.6294556,18.13656235,52.99966812,18.15706253,7.895293713,18.17814445,329.4573059,18.2443943,79.38357544,18.22389603,8.468265533,18.20223045,279.9875488,18.27070999,56.34557343,18.29187393,8.001878738,18.31295776,289.9726868,18.38047981,56.9191246,18.35970879,7.611236572,18.3392086,296.1377258,18.40720749,55.09174347,18.42789459,7.66930151,18.44906235,281.8599854,18.51722908,101.99646,18.49572945,7.703863144,18.47539711,284.0223694,
19.00083351,52.72720337,19.02070999,9.354908943,19.04204178,280.2878418,19.10787582,55.32156372,19.08756256,8.422539711,19.06606293,308.0957947,19.13379097,55.3279953,19.15489578,7.993467331,19.17622948,327.1546631,19.24247932,81.54451752,19.22112465,8.337776184,19.20079231,279.9055176,19.2688961,57.33558273,19.28939629,7.362110615,19.31072998,288.1190491,19.37722969,55.11822891,19.35672951,7.389257908,19.33529282,294.234375,19.40389633,57.37379074,19.42506218,7.113135815,19.44556236,279.1387634,19.5140419,100.6349487,19.49272919,7.727975368,19.47206306,284.6069946,
20.00083351,51.46298981,20.02172852,9.187717438,20.04320908,273.6403809,20.10954094,53.50619507,20.08806229,7.755070686,20.06720734,304.6599426,20.13337326,53.83215714,20.15470695,8.218880653,20.17537498,323.4642334,20.24206352,82.97128296,20.22087479,8.187188148,20.19970894,283.5796204,20.26870918,54.17466736,20.28937531,8.563250542,20.31020927,286.2098694,20.37691689,54.87496567,20.35573006,7.606176376,20.33506203,286.8500366,20.40087509,56.0557785,20.421978,7.434944153,20.44279099,287.4520264,20.51170921,102.7981567,20.49037552,8.091039658,20.46981239,286.0155945,
21.00083351,52.51422501,21.02120781,9.040691376,21.04229164,285.8554077,21.10970879,52.51683044,21.08939552,8.215085983,21.06856346,307.9017944,21.13670921,52.67412567,21.15720749,7.706717968,21.17870903,321.1506042,21.24606323,83.68075562,21.22522926,8.282989502,21.20445824,285.8717957,21.27279282,55.20769882,21.29381371,8.063506126,21.31441689,284.5777588,21.38304329,56.79141235,21.36204147,7.926399708,21.34131241,286.6999512,21.40737534,56.64960861,21.42870903,7.275996208,21.44895744,275.9659729,21.51739502,101.5170288,21.49629021,8.062645912,21.47554207,284.46521,
22.00083351,51.68229294,22.02020836,9.177950859,22.04087448,272.708252,22.10906219,52.88975143,22.08798027,8.261486053,22.06772804,307.972229,22.13564682,54.06680298,22.15706253,7.977118492,22.17804146,318.3631287,22.24487495,84.3589859,22.2233963,8.625209808,22.20270729,276.3835449,22.27054214,55.39979935,22.29187393,7.634070873,22.31281281,284.8769531,22.37939644,54.63601303,22.35837364,8.601169586,22.33754158,285.7398987,22.40641594,56.96361542,22.42658234,7.558567047,22.44795799,279.9485168,22.5163765,105.0035553,22.49487495,7.407120228,22.47454262,281.7075195,
23.00083351,52.91752243,23.02072906,9.345145226,23.04206276,282.0516968,23.10837364,52.9864502,23.0874157,8.175525665,23.06606293,306.7227173,23.13454247,53.98293304,23.15554237,7.938154221,23.1767292,328.6554871,23.24506187,87.16562653,23.22354126,8.23344326,23.20254135,275.4266968,23.269207,57.39032745,23.29037476,8.016963005,23.31181145,280.8177185,23.37841606,55.8118782,23.35781288,7.507817268,23.3361454,287.5039368,23.40320778,55.47439575,23.42370796,7.114897251,23.44487572,283.3734131,23.51289749,106.2356262,23.4923954,7.778098106,23.47122955,287.5889282,
24.00083351,53.7589798,24.02139473,9.46588707,24.04187393,285.4226685,24.11014557,52.25330353,24.08922958,8.097578049,24.0687294,307.7547302,24.13487625,54.77344894,24.15587616,7.927634716,24.17637444,316.8919067,24.24456215,86.48918915,24.22331429,7.867771149,24.20289421,270.750824,24.27095795,55.91987991,24.29208374,7.804659843,24.312397,277.7532959,24.38058281,56.0216713,24.36008263,8.266979218,24.33874893,289.4505005,24.40704155,56.53075409,24.42804146,7.719691277,24.44837379,283.1345215,24.51620865,109.2040405,24.49570847,8.001937866,24.47479248,278.0877075,
25.00083351,53.20628738,25.02156258,9.414225578,25.04239464,281.0016479,25.11087418,53.65786743,25.08989716,8.506049156,25.06889725,312.322876,25.13739586,53.29457474,25.15822983,7.978336811,25.17925072,312.4425964,25.24537468,87.30817413,25.2248764,9.200953484,25.2038765,269.2322998,25.26954079,58.0729866,25.29089546,7.183008194,25.31189537,284.5885925,25.37745857,55.50617599,25.35725021,7.915138245,25.33579063,286.8562012,25.40387535,55.34721756,25.42454147,7.565957069,25.44573021,281.0591431,25.51172829,106.6331863,25.49104118,7.704842091,25.47045898,278.7352905,
26.00083351,53.90593338,26.02106285,9.049554825,26.04187393,278.8779602,26.11041641,54.32528305,26.08922958,7.44400692,26.06858253,308.7189941,26.13531303,53.84531021,26.15597916,7.868826389,26.17720795,321.2725525,26.24256134,93.27113342,26.22239494,9.095126152,26.20189667,271.9640503,26.269207,56.99420166,26.29037476,8.253678322,26.31104088,282.2779236,26.37758446,55.75489426,26.35675049,7.577495098,26.33622932,289.7955322,26.40398026,56.66054916,26.42424965,7.44154501,26.44547844,283.9335022,26.51154137,104.663475,26.49054146,7.632804394,26.47020912,286.0409241,
27.00083351,54.34928894,27.0215416,9.771593094,27.04154205,282.9224243,27.11006355,50.22683716,27.08906174,7.973796844,27.06806183,307.0086365,27.13422775,52.58808136,27.15475082,7.506222725,27.17606163,310.0502625,27.24256134,89.75623322,27.22164536,8.808298111,27.20041656,275.4964905,27.26895714,56.34004593,27.29037476,7.902050495,27.31070709,282.1058044,27.37939644,56.50908279,27.35824966,8.01432991,27.33675003,293.2053833,27.40529251,57.35447311,27.42658234,7.883406162,27.44691658,281.9916077,27.51408195,109.9170303,27.49308205,7.826018333,27.47179222,282.0797424,
28.00083351,52.61701584,28.02145767,8.923049927,28.04231071,281.9455872,28.11022949,53.86631775,28.0892086,7.930208206,28.06887436,304.3686218,28.13495827,52.06802368,28.15629005,8.185684204,28.1774807,305.7115479,28.24554253,93.64315033,28.22437477,8.866386414,28.20354271,270.6949158,28.27179146,54.58935165,28.29258347,8.255052567,28.31356239,280.1419678,28.38245773,55.74751663,28.3609581,8.176259995,28.33995819,283.7321167,28.40648079,56.88710403,28.42791748,7.381086826,28.44854164,283.9234619,28.51506424,109.5952454,28.4938736,7.954274178,28.47323036,292.4794922,
29.00083351,55.1811676,29.02120781,9.039229393,29.0425415,281.6014404,29.11014557,52.84297562,29.08956337,7.879813194,29.06839561,307.7836914,29.13720894,52.87885666,29.1577282,7.934170723,29.17814445,301.1873474,29.2458744,92.87493896,29.22520828,8.206516266,29.20454025,271.4317322,29.27304077,56.22855377,29.29304123,8.132556915,29.31372833,282.2302856,29.37987518,56.17796707,29.35939598,7.905667782,29.33822823,287.3204041,29.40654182,54.81038666,29.42706299,7.703383923,29.44820786,276.1888123,29.51687431,112.5970383,29.49537468,7.818241596,29.47489548,281.8212585,
30.00083351,51.18955994,30.02191544,9.703069687,30.04229164,281.6620178,30.10895729,53.32110214,30.08820724,8.35895443,30.06720734,301.4936829,30.13554001,55.02327347,30.15606308,7.589268208,30.1767292,318.6240234,30.2450428,95.78607178,30.22439575,8.521713257,30.20320892,274.3591614,30.27141762,58.51439667,30.29208374,8.23214817,30.31322861,282.9800415,30.38195801,56.04224777,30.36047935,7.921138763,30.34014511,290.952301,30.40664673,56.53746033,30.42806244,7.516315937,30.44887543,278.31073,30.51462364,111.2340164,30.4935627,8.565460205,30.47304153,283.6722107,
31.00083351,54.89961624,31.02106285,9.079586983,31.04206276,286.3977356,31.10989571,53.05128479,31.08858299,8.493361473,31.06774902,309.3007202,31.13464546,54.6143837,31.15475082,7.968714237,31.17612457,309.7357788,31.2438736,97.09009552,31.2230835,8.252649307,31.20245743,270.0545044,31.27070999,56.13588333,31.29104233,7.815067768,31.31258392,280.5239258,31.37854195,56.86034012,31.3574791,8.205435753,31.33658218,289.3801575,31.40537453,53.6496315,31.4262085,7.357050896,31.44764519,278.2272339,31.51604271,111.6664963,31.49495888,7.748364925,31.47414589,281.2927246,
