n_vesicles_detected,n_vesicles_tracked,n_frames,pixel_size_um,detection_method,excluded_incomplete,excluded_border,excluded_jump,file,condition
229,299,43,0.6359407045009784,dark_regions,729,34,0,After DNA brush addition.lif,after_dna
102,114,45,0.7067696673189824,dark_regions,680,10,0,After cyclodextrin addition.lif,after_cd
