Quality Indicator	Measurement Type	Result State	Sample Name	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	5mM batch 2 MBCD  DNA	26/01/2024 15:19	25.01	139.4	0.2092	100			167.7
GoodData	Size	Completed	5mM batch 2 MBCD  DNA	26/01/2024 15:22	25	117.4	0.2225	100			144.1
GoodData	Size	Completed	5mM batch 2 MBCD  DNA	26/01/2024 15:25	25	116.9	0.2307	100			143.2
GoodData	Size	Completed	5mM batch 2 MBCD  DNA	26/01/2024 15:29	25	117.9	0.2217	100			140.9
GoodData	Size	Completed	5mM batch 2 MBCD  DNA	26/01/2024 15:32	25	116.1	0.2127	100			142.2
GoodData	Size	Completed	5mM batch 2 MBCD no  DNA	26/01/2024 15:35	25.01	113.6	0.1955	100			134.4
GoodData	Size	Completed	5mM batch 2 MBCD no  DNA	26/01/2024 15:39	25	122.7	0.234	100			152.3
GoodData	Size	Completed	5mM batch 2 MBCD no  DNA	26/01/2024 15:42	25	113.9	0.213	100			138.6
GoodData	Size	Completed	5mM batch 2 MBCD no  DNA	26/01/2024 15:45	25	114.5	0.1969	100			135.5
GoodData	Size	Completed	5mM batch 2 MBCD no  DNA	26/01/2024 15:48	25	112.3	0.187	100			131.6
