Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Conductivity (mS/cm)	Peak 1 Mean by Intensity ordered by area (nm)
GoodData	Size	Completed	2mM MBCD	12/12/2023 14:40	12/12/2023 14:40	25	151.7	0.1212	100				169.7
GoodData	Size	Completed	2mM MBCD	12/12/2023 14:43	12/12/2023 14:43	25	146.8	0.159	100				170.2
GoodData	Size	Completed	2mM MBCD	12/12/2023 14:46	12/12/2023 14:46	25	138.1	0.1313	100				156.6
GoodData	Size	Completed	2mM MBCD	12/12/2023 14:49	12/12/2023 14:49	25	136.3	0.1694	100				161
GoodData	Size	Completed	2mM MBCD	12/12/2023 14:53	12/12/2023 14:53	25	126.4	0.149	100				145.5
GoodData	Size	Completed	2mM MBCD no DNA	12/12/2023 14:55	12/12/2023 14:55	25	128.2	0.1113	100				142.7
GoodData	Size	Completed	2mM MBCD no DNA	12/12/2023 14:58	12/12/2023 14:58	25	121.6	0.1009	100				134.4
GoodData	Size	Completed	2mM MBCD no DNA	12/12/2023 15:02	12/12/2023 15:02	25	118.9	0.1186	100				133
GoodData	Size	Completed	2mM MBCD no DNA	12/12/2023 15:06	12/12/2023 15:06	25	118.7	0.1389	100				135.4
GoodData	Size	Completed	2mM MBCD no DNA	12/12/2023 15:10	12/12/2023 15:10	25	118	0.1344	100				134.9
