Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
79.5083313,41.85579681,79.52722931,196.6970978,79.56258392,58.58890152,79.58150482,135.4301758,
80.0083313,42.20617676,80.02722931,196.4814911,80.06389618,58.19216919,80.08280945,134.8770752,
80.5083313,41.82632828,80.52722931,195.8049469,80.5633316,58.65159225,80.58222961,134.8126373,
81.0083313,41.92093277,81.02722931,197.5316467,81.06289673,58.43770599,81.08181,135.7497711,
81.5083313,42.21643448,81.52722931,196.6416168,81.56391907,58.39215088,81.58283997,135.2363434,
82.0083313,41.66434479,82.02722931,196.1217957,82.06399536,58.50196457,82.08289337,135.5522919,
82.5083313,42.3345108,82.52722931,196.0319366,82.56342316,58.17567825,82.5823288,134.1373138,
83.0083313,41.92538071,83.02722931,198.7718964,83.06362152,58.04403305,83.08254242,135.3502197,
83.5083313,42.13081741,83.52722931,196.9464111,83.56241608,58.33102036,83.58132935,134.7440186,
84.0083313,42.4258461,84.02722931,196.0892029,84.06316376,58.57043839,84.08206177,135.6184235,
84.5083313,42.3026886,84.52722931,195.836319,84.56356812,57.9871521,84.58248138,133.3924713,
85.0083313,42.3553772,85.02722931,197.6574097,85.06275177,58.24972153,85.08166504,135.5124817,
85.5083313,42.1612854,85.52722931,196.2455597,85.56299591,58.41388702,85.58189392,134.8278961,
86.0083313,41.85836029,86.02722931,196.2378082,86.06429291,58.10589218,86.08322906,133.2917175,
86.5083313,42.64554977,86.52722931,196.3759918,86.5639801,58.00053406,86.58289337,133.9636841,
87.0083313,42.21374512,87.02722931,196.817627,87.06181335,58.08719254,87.08072662,133.8360138,
87.5083313,42.14625168,87.52722931,195.2652893,87.56324768,58.00792313,87.58220673,134.6706848,
