Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample B6,,Sample B7,,Sample B8,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,Sample C6,,Sample C7,,Sample C8,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
9.000833511,117.8118286,9.021145821,21.62705421,9.041479111,24.48934746,9.063000679,20.71387672,9.084166527,193.5088348,9.104729652,97.46352386,9.125458717,24.32973862,9.145978928,40.48544312,9.319312096,133.2271576,9.298145294,22.493433,9.277791023,26.36180305,9.256791115,24.16899681,9.235458374,124.7120819,9.214479446,104.6732864,9.193666458,70.5973053,9.172708511,48.9172287,9.345645905,111.846611,9.367041588,26.25079918,9.387395859,34.15677643,9.4087286,30.48557854,9.430125237,115.7606812,9.450291634,94.01966858,9.47114563,72.94963837,9.492312431,43.24078751,
10.00083351,119.182991,10.02066612,21.43440056,10.0421257,23.99074554,10.06297874,20.44169044,10.08329201,194.5333405,10.10447884,101.1190643,10.12531185,24.06617737,10.14662457,40.24843216,10.31649971,139.0845032,10.29606247,22.65120697,10.27416706,26.52862549,10.25366592,24.00985336,10.23281288,126.492981,10.21247959,102.6446152,10.19120789,70.61868286,10.17066669,48.89675903,10.34337425,113.2590485,10.36448002,26.18200493,10.38531303,32.24670792,10.40597916,30.02955818,10.42647934,118.0826797,10.44714546,92.42989349,10.46804237,75.27959442,10.48897934,42.52052307,
11.00083351,122.060051,11.02156258,20.8181591,11.04249954,24.47052193,11.06364536,20.42611885,11.08489609,196.6278687,11.10550022,104.9946136,11.126791,23.49207115,11.14764595,41.20800781,11.31929111,139.4981232,11.29895878,22.29009438,11.27814579,27.14910507,11.25745869,23.30918884,11.23581219,128.071228,11.21537495,107.5272675,11.19479179,72.18597412,11.17347908,49.8159523,11.34547901,110.1517334,11.36662483,26.88184929,11.38695908,32.57751846,11.40845871,30.06615257,11.42962551,118.5115509,11.45014572,93.95398712,11.47106266,76.1270752,11.49145794,43.00374603,
12.00083351,123.2598495,12.02204227,21.6463089,12.04237461,24.2180233,12.06370831,20.20633507,12.08506298,194.7073364,12.10566711,103.3596115,12.12647915,23.53207588,12.14745808,41.79943085,12.31831264,138.8898621,12.29712486,23.13859177,12.27679157,26.79899025,12.25549984,23.47133636,12.23431301,128.356308,12.21397877,107.1928864,12.19281197,71.26657104,12.17181301,50.16869736,12.34295845,113.5596237,12.36331272,26.70933914,12.38447857,32.80735779,12.4051466,31.50914192,12.42562485,120.7414856,12.44756222,94.33239746,12.46820927,77.00931549,12.48879147,43.93135071,
13.00083351,123.1202774,13.02112484,21.74815369,13.04272842,24.25436974,13.06339645,20.10167122,13.08429146,197.3187561,13.10464573,103.2636337,13.12597942,22.98932648,13.14649963,42.42589951,13.31914616,140.6051483,13.29862499,22.46349716,13.27712536,27.74441528,13.2561245,23.52554893,13.23545837,132.0046387,13.21497917,106.9391174,13.1943121,73.25967407,13.17279148,49.87757111,13.34383297,114.7349091,13.36479187,26.2654705,13.38495827,33.62981415,13.40531254,30.6417141,13.42681313,121.8881912,13.44745827,96.41172028,13.46866703,75.97248077,13.48979187,43.29174042,
14.00083351,120.0807266,14.0204792,20.68842316,14.04166698,24.62924576,14.06204128,20.59887314,14.08329201,201.8604126,14.10445881,106.2722168,14.12589645,23.44060326,14.14629173,42.47244644,14.31864643,140.646759,14.2984581,22.91195679,14.27679157,26.9084034,14.25629139,23.35980034,14.23545837,128.4907684,14.21479225,108.8160019,14.19314575,75.11005402,14.1729784,49.68105698,14.3451252,114.187233,14.36545849,26.81529236,14.38679218,32.8909874,14.4076252,30.36373711,14.42897987,124.4769821,14.44956303,96.07878113,14.47062492,78.06865692,14.49079227,44.02296829,
15.00083351,121.1973724,15.02145767,21.84610367,15.04147911,24.22880363,15.06272888,20.2715683,15.08395767,201.8486176,15.10514641,108.1081085,15.12562466,23.29218674,15.14599991,42.89813232,15.31787491,141.0173798,15.29681301,22.57780266,15.27662468,27.30379677,15.25579166,23.7081356,15.23470879,133.6331024,15.21364498,109.2236176,15.19379139,75.4772644,15.1724577,48.89525986,15.34447956,115.3417969,15.3651247,26.40419579,15.38612461,33.59808731,15.40664577,30.786623,15.42797947,128.3956757,15.44816685,96.43249512,15.46912575,78.69694519,15.4903326,44.07966614,
16.00083351,122.0305176,16.02147865,21.44170952,16.04281235,24.32419395,16.06316566,19.79715729,16.08429146,199.1938629,16.10545921,108.343605,16.12598038,23.42732048,16.14745712,43.46302414,16.31929207,144.4176178,16.29862404,22.53718948,16.27814484,26.73489952,16.25712395,24.0266819,16.23583412,135.7382507,16.21562576,112.1598358,16.19445801,75.3060379,16.17320824,48.62619781,16.34539604,114.0666046,16.36662483,26.30332947,16.38681221,33.20431137,16.40787506,30.17050743,16.42845917,126.2002258,16.44948006,94.32911682,16.46983337,78.84410095,16.49033356,43.2393837,
17.00083351,121.5236206,17.02145767,21.85766029,17.04264641,24.84122849,17.06348038,20.43742943,17.08462524,200.6703339,17.10495758,109.9021454,17.12633324,23.30635262,17.1465416,43.84280014,17.31931114,145.0202942,17.29804039,23.00981522,17.27783394,27.27423668,17.25631332,23.47225952,17.23581314,135.6403046,17.21497917,110.5550156,17.1936264,78.08280945,17.17297935,48.3711853,17.34506226,115.7957611,17.36612511,26.40337563,17.387146,33.64640808,17.40749931,30.46158791,17.42879295,129.6302948,17.44881248,96.45376587,17.46987534,82.13197327,17.49045753,42.88696671,
18.00083351,122.3578186,18.0199585,21.28709984,18.04131317,24.7664299,18.06254005,20.23994446,18.08287621,201.7362366,18.10412598,110.8309326,18.12512398,23.44165039,18.14572906,44.06109238,18.31795883,142.5170441,18.29745865,22.69197273,18.27664566,27.46001053,18.25597954,24.23018646,18.23487473,135.4007263,18.21366501,111.3298798,18.19312477,75.68875885,18.17245865,47.4629364,18.34504128,113.0315552,18.36629295,26.41996956,18.38581276,33.48860168,18.40664673,30.54654694,18.42714691,128.4015198,18.44804001,98.43661499,18.4689579,79.11422729,18.48914528,43.70078278,
