Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample A4,Sample A5,Sample A6,Sample A7,Sample B7,Sample B6,Sample B5,Sample B4,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample C4,Sample C5,Sample C6,Sample C7
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
400,12.6631011962891,12.1334037780762,12.3017024993896,17.3247127532959,10.8698015213013,14.2296581268311,2.24989080429077,2.48495674133301,13.0657157897949,12.3242454528809,13.5555601119995,14.5139141082764,11.2269620895386,14.4260969161987,15.1442365646362,11.55455493927,11.1829719543457,8.94407176971436,9.66402816772461,13.5483293533325,0.983460009098053
401.070007324219,11.8608160018921,14.1777276992798,16.9697494506836,17.1082096099854,10.0769290924072,13.4929141998291,1.72450053691864,1.73807764053345,14.6031084060669,13.9001951217651,15.764594078064,15.7188234329224,9.38231372833252,16.4547481536865,14.3161993026733,13.3708934783936,13.2177543640137,11.1732950210571,11.8760652542114,14.581166267395,1.70380079746246
402,17.3066062927246,13.3190603256226,15.8406791687012,16.8763408660889,15.5506629943848,17.5091571807861,2.24107241630554,1.60809123516083,18.4892024993896,17.2932815551758,16.9781341552734,16.7810668945313,11.6097211837769,15.0493669509888,19.0290679931641,15.8335123062134,15.0067291259766,13.9120759963989,12.2977342605591,16.1876125335693,1.8613795042038
403.070007324219,18.792989730835,17.0313396453857,16.8889694213867,20.9048194885254,16.137580871582,19.5968742370605,1.99822378158569,1.87668120861053,18.7526798248291,16.7977352142334,19.9405689239502,17.0878810882568,12.4828443527222,20.0771427154541,18.8836059570313,18.1247444152832,16.7838764190674,13.147876739502,13.1576337814331,17.5745868682861,1.38947367668152
404,19.059154510498,19.8472023010254,18.013090133667,22.5642890930176,15.0185718536377,22.6934585571289,1.78428983688354,2.14718770980835,20.9675750732422,21.5840492248535,20.299488067627,21.0340671539307,14.4327592849731,19.2582931518555,22.3499374389648,18.6783351898193,15.5541439056396,15.1509962081909,12.1985397338867,18.6618118286133,2.28138518333435
405.070007324219,20.9602489471436,21.6656532287598,19.4089622497559,21.823169708252,17.5754508972168,23.626049041748,2.54373264312744,1.65905404090881,24.7208423614502,24.1027355194092,22.4107780456543,22.4617347717285,12.4914608001709,22.3805122375488,21.6901988983154,20.6538333892822,21.4400615692139,19.2808742523193,17.2221126556396,19.831657409668,2.27355027198791
406,22.703685760498,24.6341571807861,24.8174018859863,26.8920192718506,19.6614456176758,25.433443069458,1.25419843196869,1.8435822725296,27.3243656158447,23.8658828735352,24.8364105224609,24.2995433807373,17.5195751190186,22.9655704498291,28.2752685546875,23.9814453125,22.4252490997314,18.7715358734131,18.1183929443359,24.9118213653564,1.61434578895569
407.070007324219,25.943603515625,24.8813667297363,27.3770275115967,30.195276260376,21.8667659759521,26.7163162231445,1.36260080337524,1.74413025379181,30.9892501831055,30.5206451416016,26.9412612915039,26.5494403839111,16.6835956573486,24.5625762939453,27.6761112213135,24.2626171112061,26.971736907959,23.7818298339844,15.9940052032471,30.0246696472168,1.43257009983063
408,27.4793128967285,29.7634811401367,27.7704563140869,29.2138366699219,23.4942493438721,30.9466724395752,2.23789119720459,1.89430224895477,31.7869071960449,34.7557830810547,29.9011516571045,33.2781524658203,21.2544097900391,29.8137493133545,31.7898845672607,30.4683170318604,28.0350093841553,24.1703624725342,21.6729259490967,30.7567234039307,1.66579496860504
409.070007324219,30.8683204650879,36.1353454589844,29.0176696777344,37.3086280822754,25.0383968353271,32.9318046569824,1.27732038497925,1.72729539871216,36.0244789123535,36.4306945800781,34.4175186157227,31.6600875854492,24.3720760345459,30.0704193115234,31.7514724731445,32.3197250366211,29.1282043457031,24.4048881530762,23.4960880279541,26.9205379486084,1.31193244457245
410,35.1308479309082,30.3880310058594,34.78173828125,36.9467506408691,24.5958786010742,35.8518333435059,1.69485354423523,1.68188369274139,36.2207679748535,40.2130470275879,36.3282890319824,33.8733406066895,25.3902931213379,37.6656341552734,34.5651054382324,34.219425201416,32.3662719726562,24.9942150115967,23.9557609558105,33.0455017089844,1.54348826408386
