Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample B6,,Sample B7,,Sample B8,,Sample B9,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,Sample C6,,Sample C7,,Sample C8,,Sample C9,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,652.8881836,0.02164583467,621.4926758,0.04231249914,645.038269,0.06381250173,703.4055176,0.08414582908,703.5896606,0.1056041643,756.6714478,0.1269374937,768.6029053,0.1476041675,753.2995605,0.1686041653,770.180603,0.3631458282,59.91495132,0.3414791822,52.18987656,0.3206666708,74.19643402,0.299895823,64.31333923,0.2792708278,69.32744598,0.2579374909,81.39422607,0.2372708321,70.10403442,0.2166041732,69.29833984,0.1956041604,91.91132355,0.3873125017,93.37212372,0.4079374969,95.3921051,0.4288541675,93.31484985,0.4506041408,103.8871613,0.4713541567,109.4321136,0.4921666682,97.51119995,0.5131458044,106.1264801,0.5338125229,108.3792572,0.5553124547,111.184494,
1.000833273,635.8471069,1.021499991,608.9527588,1.042500019,637.5755005,1.063145876,706.6394653,1.084499955,703.1630249,1.105687499,731.8607178,1.126666665,755.4927979,1.146999955,773.3057861,1.168645859,770.6657715,1.360479236,53.93662262,1.338979244,52.70359802,1.318166614,68.7375412,1.297666669,69.161026,1.276166677,66.11650848,1.255666614,82.67012787,1.234583259,66.57659149,1.21381247,63.03178406,1.192645788,87.28761292,1.384812593,135.6299744,1.405583262,129.6023254,1.427250028,123.4319839,1.447895765,149.266922,1.468562484,143.9879761,1.489500046,135.9273224,1.510479212,149.9621429,1.53147912,139.8197174,1.552312493,146.6484985,
2.000833273,638.6589966,2.020666599,632.4660034,2.042312384,624.8272705,2.063145876,716.2860107,2.084645748,702.529541,2.10547924,724.6807861,2.126083374,766.4151611,2.147187471,775.5197144,2.167833567,737.5819702,2.362750053,52.94473267,2.34156251,49.65795898,2.320395947,69.26078033,2.299645662,66.15950775,2.278229237,66.56177521,2.257895947,83.95687866,2.236854076,67.66988373,2.21541667,62.56049728,2.194583416,85.95222473,2.387145758,164.8748016,2.408020735,162.9903717,2.429250002,158.2736359,2.450312614,189.661087,2.470812559,193.3898315,2.491812468,162.6789703,2.513000011,183.2077484,2.533833265,186.9481354,2.554479122,179.0081787,
3.000833273,629.6065674,3.02125001,617.8868408,3.042916536,624.1799316,3.063395977,706.3009644,3.084166765,683.2468262,3.104687452,730.0425415,3.125999928,754.5023193,3.147333384,749.6554565,3.167479277,751.4418945,3.359854221,54.67517471,3.339520693,47.8646698,3.318187475,67.41174316,3.297062397,62.93058395,3.276479006,65.29569244,3.255145788,78.09115601,3.23450017,70.91464996,3.213000059,63.16255188,3.192520857,85.14906311,3.386479139,199.6508636,3.40739584,195.4662323,3.428750038,180.3109283,3.449479103,222.0009766,3.470645905,223.9536743,3.491312504,195.1755676,3.511895657,233.9184723,3.533812523,218.4286652,3.554145813,212.1826477,
4.000833511,658.6783447,4.021312237,614.338501,4.042229176,647.3468018,4.062895775,717.5133057,4.084062576,684.9346313,4.105249882,736.1091919,4.126062393,756.3265991,4.146687508,760.5967407,4.167812824,755.4906006,4.362083435,56.01147079,4.340395451,50.33766174,4.319895744,70.48564148,4.299020767,64.24594879,4.277666569,71.62100983,4.257166386,82.67277527,4.236500263,67.38084412,4.215333462,61.3146019,4.194145679,89.13091278,4.386146069,237.249588,4.407312393,223.6660004,4.428145885,212.2016907,4.449500084,263.3771973,4.469812393,263.9615784,4.491166592,235.6448059,4.511666775,267.6462708,4.532999992,250.8879242,4.554187298,241.5463104,
5.000833035,633.9744873,5.021666527,614.9185181,5.042666435,639.8880615,5.063478947,687.532959,5.084312439,685.1221924,5.105000019,738.1978149,5.125999928,752.0584717,5.146853924,780.3123779,5.168666363,743.9370728,5.361833096,54.49343491,5.341249943,49.08188629,5.319479465,69.70845795,5.298812389,64.22473907,5.27858305,68.69400787,5.25702095,82.74240112,5.236562729,66.65340424,5.215146065,63.79551315,5.194666386,83.04741669,5.388187885,259.7514648,5.409729004,251.925293,5.43039608,240.0934448,5.451062679,301.0573425,5.472229004,296.5249329,5.492917061,252.5023193,5.513479233,291.9500122,5.535000324,284.3326111,5.555562496,269.8129578,
6.000833035,638.22229,6.020729065,618.6931152,6.04172945,637.4501343,6.06275034,697.7049561,6.085000038,707.234314,6.105312824,725.8850098,6.125999928,738.5247192,6.147000313,767.5541382,6.168479443,762.4388428,6.362416744,53.80934906,6.341583252,54.97088623,6.320395947,67.29735565,6.299749851,66.72597504,6.278562546,63.62375641,6.257979393,79.60289001,6.236749649,70.26177216,6.215812683,62.18242264,6.194645882,88.92661285,6.388812065,281.7449646,6.409979343,266.1812134,6.43083334,263.2794189,6.45197916,315.8387451,6.472500324,331.7237549,6.494000435,291.1056824,6.514999866,329.6224976,6.535666943,313.530304,6.556145668,288.5920105,
7.000833035,621.8743896,7.020833492,613.2548828,7.041479111,627.9586182,7.062833309,714.4504395,7.082979202,686.9202881,7.104354382,734.913269,7.125062466,752.3147583,7.146000385,765.3196411,7.167500019,756.5896606,7.3584795,57.83008957,7.337979317,50.5948143,7.317166805,70.99494171,7.296145439,67.07578278,7.275666714,65.7747345,7.254833698,77.1674118,7.233166695,73.65024567,7.212666988,65.58191681,7.191354275,84.30644989,7.383145809,311.734314,7.403812885,295.4688721,7.424479008,279.9736633,7.445166588,341.0629883,7.46635437,348.0415344,7.487833023,314.34198,7.508666515,355.415802,7.529500008,330.1143188,7.54997921,313.1765442,
8.000833511,628.2290039,8.021979332,629.1105347,8.04297924,629.9977417,8.063145638,706.1348877,8.084645271,680.5296021,8.104978561,739.1804199,8.125478745,750.2120361,8.146812439,765.7285156,8.167562485,761.5704956,8.361562729,58.50883102,8.340812683,54.67528152,8.319979668,71.61131287,8.299312592,66.53888702,8.27806282,69.84290314,8.256812096,79.81612396,8.236249924,72.08879089,8.214646339,64.14732361,8.193979263,85.76724243,8.386333466,327.6254578,8.405812263,316.0271606,8.42747879,296.6808167,8.448332787,387.54953,8.468999863,366.2167358,8.489479065,332.4271545,8.510979652,367.9190369,8.531312943,353.6429749,8.552333832,341.1451721,
