Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
13.00083351,22.58259964,13.02056313,196.8447876,13.04039574,239.8950195,13.06020832,155.2489166,13.08106327,326.2392578,13.18722916,14.49438667,13.16639614,147.9872589,13.14662457,131.5591278,13.12579155,122.1125793,13.10604191,227.0058746,13.21222973,20.46343613,13.23206234,190.0786133,13.25289631,159.3013306,13.27270794,137.4962311,13.29245853,305.0643616,
14.00083351,22.47148895,14.0215826,198.7579956,14.04241657,241.876709,14.06222916,157.8750153,14.08204174,330.5964661,14.18824959,14.25615978,14.16741657,151.0999298,14.14770794,132.5825958,14.12787437,121.8182526,14.10806274,223.6792755,14.21437454,19.96015549,14.23408318,187.0454559,14.25389576,162.373642,14.27372932,138.0765686,14.29456234,308.0751343,
15.00083351,22.82298088,15.0215826,202.3454895,15.04139614,244.2716675,15.06120777,156.7624054,15.08204174,330.9092102,15.18722916,14.74312973,15.16741657,150.4031372,15.14764595,136.1260376,15.12681293,123.0324173,15.10706234,227.4702454,15.21325016,20.61894226,15.23306274,189.2572479,15.25289631,163.0002289,15.27372932,139.9887085,15.29347897,304.959198,
16.00083351,22.67863274,16.02056313,201.1372986,16.04039574,244.23703,16.06122971,159.0414734,16.0809803,329.7234192,16.18622971,14.88477516,16.16639519,151.0214844,16.14658356,137.9245911,16.12681198,121.2860107,16.10597992,223.4481659,16.21222878,19.89596367,16.23206329,187.6764374,16.25181198,164.174057,16.27264595,137.1028137,16.29241562,308.1614075,
17.00083351,22.13287163,17.02156258,200.746582,17.04139519,243.3339691,17.06122971,157.378891,17.08206177,328.9299927,17.18722916,14.7490406,17.16739464,152.7605286,17.14762497,139.0815887,17.12679291,122.1685257,17.10706139,226.0037537,17.21322823,20.55822372,17.23306274,190.4298401,17.25389671,167.8961182,17.27372932,140.6443939,17.29345894,306.0302734,
18.00083351,22.49504089,18.02056313,203.5651245,18.04139519,247.0557251,18.0612278,159.0711823,18.08095932,329.0553589,18.18722916,14.58701515,18.16739464,153.3483887,18.14656258,140.7284698,18.12679291,122.7585678,18.10706139,225.5311127,18.21322823,20.35910034,18.23306274,191.8539124,18.25289536,166.7355957,18.27262497,139.1520996,18.29345894,306.1847534,
19.00083351,22.70669937,19.02056313,204.5386353,19.04139519,249.4511261,19.0612278,159.5864258,19.08095932,329.4375,19.18722916,15.07972336,19.16639519,152.8526611,19.14656258,140.8152466,19.12679291,122.3612823,19.10704231,226.162323,19.21222878,20.2749157,19.23306274,192.4182739,19.25287437,166.9976349,19.27258301,140.0534515,19.29239464,306.8151855,
20.00083351,21.62587738,20.02056313,208.0554657,20.04031181,248.9213562,20.06008339,160.2718964,20.08091545,327.6710815,20.18614578,14.59165955,20.16639519,154.413147,20.14656258,142.2665253,20.12674904,122.9402847,20.10591698,226.721405,20.21222878,20.51937485,20.23197746,190.6693726,20.25174904,166.6289368,20.27258301,141.3227692,20.29239464,305.2560425,
21.00083351,22.34700012,21.02156258,211.4408112,21.04239464,248.5046844,21.06220818,161.0700531,21.08197784,328.5778809,21.18822861,14.41996765,21.16841698,153.0250397,21.1486454,142.0507965,21.12781143,120.4570999,21.10806274,228.7238159,21.21222878,20.00902557,21.23197746,192.9916992,21.25281143,170.2296143,21.27258301,138.6108704,21.29239464,305.0738525,
22.00083351,22.78395081,22.02156258,209.3734589,22.04239464,248.2989349,22.06222916,160.5435028,22.08195877,330.7899475,22.18822861,14.54340458,22.16739464,152.8760223,22.14756203,140.384613,22.12779045,120.8601151,22.10806274,223.8451996,22.21322823,20.19936943,22.23406219,193.9307556,22.25389671,168.6130371,22.27362442,139.525238,22.29445839,307.1212158,
23.00083351,22.35017776,23.02156258,209.8872223,23.04139519,248.2320557,23.0611248,161.4438934,23.08195877,330.3276367,23.18722916,14.8520422,23.16739464,154.8472748,23.14756203,143.6025391,23.12672997,120.7768021,23.10695839,223.9203949,23.21322823,20.6970005,23.23306274,191.0825653,23.25279045,168.3706207,23.27362442,141.4890747,23.293396,303.3006897,
24.00083351,22.36325073,24.02056313,210.7651978,24.04137611,245.941864,24.0611248,161.4428864,24.08089638,329.9677429,24.18722916,14.6369133,24.16739464,153.6572418,24.14656258,143.0136414,24.12672997,121.5407181,24.10695839,222.3058319,24.2122097,20.23894691,24.23306274,193.3632355,24.25279045,170.6134186,24.27256203,138.665451,24.293396,302.2728882,
25.00083351,22.74841118,25.02054214,212.0687714,25.04025078,247.0579224,25.06108475,162.2608948,25.08089638,327.2307739,25.18714523,14.20864677,25.16631317,153.328537,25.14656258,141.0430298,25.12672997,122.0875015,25.10691643,220.1869354,25.21214676,20.18557167,25.23191643,194.0982666,25.2527504,171.8696747,25.27256203,138.7640076,25.29239464,302.2518921,
26.00083351,22.01174355,26.02156258,210.6094818,26.04237556,250.1690979,26.06214523,162.2707214,26.08191681,329.9808044,26.18820763,14.9073019,26.168396,154.1356201,26.14756203,142.7813568,26.1277504,120.7946396,26.10797882,222.280899,26.21422958,20.13069916,26.23404121,194.7248535,26.25381279,172.0114288,26.27358437,139.244339,26.29441643,304.7827454,
27.00083351,21.91377831,27.0215416,210.6460419,27.04129219,252.0798798,27.06106186,162.4365387,27.08189583,332.8554688,27.18712616,14.98339462,27.16737556,154.1776886,27.14754295,143.1971893,27.12772751,120.0302887,27.10689545,222.6427917,27.21320724,19.80421638,27.23295975,192.1430511,27.25272751,169.7164459,27.27356148,136.1516571,27.293396,304.9640198,
28.00083351,22.19952965,28.02045822,213.9120026,28.04022789,250.829071,28.06106186,162.2437897,28.08089638,329.8312988,28.18606186,14.86440468,28.16629219,155.3196259,28.1465416,143.9033661,28.12672997,117.1617813,28.105896,221.7155457,28.21212578,19.68967056,28.23189545,190.425766,28.25272751,169.8443451,28.27254295,135.2197723,28.29239464,303.8779907,
