Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3
,1,2,3,4,5,6,7,8,9
570,8.5696439743042,86.4025344848633,34.8617286682129,36.0557136535645,101.971176147461,8.2777042388916,3.82482314109802,87.8697204589844,40.7002601623535
571.02001953125,7.09814071655273,75.9542083740234,34.6487236022949,42.7663650512695,100.113349914551,8.08575057983398,6.45833301544189,90.5741882324219,38.4972457885742
572.049987792969,7.31963205337524,82.1637649536133,33.8963317871094,40.3772888183594,88.7438659667969,7.47585439682007,5.54633712768555,81.1834182739258,39.5946769714355
572.940002441406,6.78384208679199,84.8615264892578,26.8815860748291,36.7946891784668,88.5484008789063,6.47194671630859,6.28901720046997,89.7566299438477,32.1813049316406
573.969970703125,5.34370803833008,68.7187347412109,41.2018013000488,29.8260726928711,82.139404296875,5.1356954574585,6.50667142868042,77.0747299194336,37.9998664855957
575,6.0488748550415,70.6921997070312,23.2580604553223,35.258659362793,76.2810897827148,5.92768239974976,6.07888889312744,80.3471908569336,34.9164619445801
576.02001953125,4.28777885437012,66.1808624267578,24.8261184692383,28.9015979766846,70.5119323730469,5.69383430480957,3.44238114356995,68.1245727539063,30.0914726257324
577.049987792969,3.96871709823608,56.6891288757324,25.9992694854736,32.5723686218262,75.6730575561523,6.97613906860352,3.71092820167542,69.9557800292969,25.6591339111328
577.940002441406,4.49829483032227,57.158332824707,24.7709884643555,23.2151184082031,66.3060073852539,3.43895268440247,3.64130687713623,63.3955879211426,23.8123054504395
578.969970703125,1.12667775154114,62.2634086608887,26.2309722900391,26.5868911743164,66.2929382324219,3.28251504898071,3.9268536567688,66.1810607910156,24.5868873596191
580,3.77643513679504,56.3201904296875,24.4404754638672,31.5843811035156,63.2704734802246,4.30354356765747,2.97597599029541,66.9669876098633,26.7789897918701
581.039978027344,3.4619312286377,57.6799201965332,26.7144241333008,21.5643100738525,56.5141754150391,2.10053944587708,1.55338883399963,56.3310317993164,23.31667137146
581.940002441406,2.08051085472107,43.1825408935547,19.4317970275879,19.6353435516357,57.9048538208008,3.264493227005,2.64424228668213,51.9867630004883,22.5806465148926
582.97998046875,4.68167018890381,49.1171798706055,18.700834274292,26.3751068115234,63.0114364624023,3.95567798614502,2.3788628578186,47.8473358154297,19.9108180999756
584.02001953125,1.92053472995758,54.8746719360352,17.6190929412842,15.3183679580688,49.8904647827148,1.95954930782318,2.10023856163025,55.0663833618164,18.0470371246338
585.070007324219,4.63905334472656,41.7024078369141,13.7681159973145,18.5004196166992,47.9299201965332,3.19969892501831,2.95662045478821,40.182502746582,14.9316511154175
585.969970703125,2.04731011390686,49.2225456237793,20.3515701293945,21.0734729766846,37.4387168884277,4.64670991897583,2.79756450653076,44.1474380493164,18.4673919677734
587.010009765625,1.1860386133194,43.7661323547363,20.7141819000244,18.2139911651611,39.4464988708496,2.30892467498779,3.08339190483093,48.4608345031738,17.4694347381592
588.049987792969,2.26055932044983,40.7276763916016,15.4018850326538,20.3163547515869,37.2014999389648,1.82507693767548,2.40011310577393,43.0972595214844,22.2608108520508
588.950012207031,3.66430878639221,41.3115081787109,14.4999885559082,14.3472690582275,41.540657043457,2.96778178215027,1.05138051509857,43.0694236755371,16.99440574646
590,0.962368905544281,40.2447776794434,12.4516534805298,17.3571395874023,38.7521591186523,2.7757523059845,1.3215651512146,35.783275604248,17.0349788665771
591.02001953125,2.13701462745666,39.4714088439941,16.6642265319824,18.3584804534912,41.685920715332,2.3948655128479,1.26972186565399,31.8857841491699,16.8697280883789
592.049987792969,1.90830588340759,34.5347480773926,11.8225202560425,18.2987613677979,48.3494338989258,2.69616961479187,1.54358208179474,38.6636619567871,18.7377643585205
592.940002441406,2.75868725776672,31.6006660461426,14.5589294433594,17.2701416015625,34.756893157959,2.25042343139648,1.55777955055237,41.9245262145996,17.8641872406006
593.969970703125,1.6024010181427,34.9033813476562,13.0609903335571,15.8141651153564,35.7515335083008,1.58156883716583,3.45810103416443,36.624683380127,16.203161239624
595,2.58011627197266,30.9210357666016,14.2406644821167,13.1951217651367,38.6056976318359,1.71333348751068,1.33039832115173,43.5312156677246,12.4991073608398
596.02001953125,2.11049032211304,29.5251598358154,10.2803735733032,16.0015335083008,32.835750579834,1.8148387670517,1.2995138168335,41.2977981567383,16.2230186462402
597.049987792969,2.18486976623535,29.199893951416,12.8525876998901,21.3514556884766,34.5716018676758,2.01612901687622,0.856045544147491,36.8157768249512,15.1303539276123
597.940002441406,2.43428659439087,33.8101425170898,14.1019296646118,15.8829164505005,34.7406158447266,3.02199077606201,2.37457799911499,38.6258888244629,14.1214637756348
598.969970703125,3.19795322418213,38.7576446533203,8.88334178924561,14.0804462432861,32.7118339538574,2.50547313690186,1.25768578052521,30.344539642334,11.7342166900635
600,1.35063421726227,32.5041847229004,12.9863872528076,14.852424621582,38.1551971435547,0.885994136333466,1.57099986076355,39.1879348754883,10.8964242935181
601.02001953125,2.64875602722168,27.496524810791,10.2667388916016,18.8816795349121,35.9423599243164,0.791328966617584,1.31037068367004,31.2093620300293,13.4944190979004
602.049987792969,1.32409620285034,33.6343116760254,16.1553993225098,12.3944463729858,37.3634872436523,2.32733082771301,1.558429479599,29.9921607971191,13.0061464309692
602.940002441406,1.08526396751404,29.485258102417,8.90942859649658,15.1354627609253,33.7763900756836,1.87528192996979,0,34.241771697998,10.9792976379395
