Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample A1,Sample A2,Sample A3,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample A1,Sample A2,Sample A3,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
570,8.5696439743042,86.4025344848633,34.8617286682129,36.0557136535645,101.971176147461,8.2777042388916,3.82482314109802,87.8697204589844,40.7002601623535,6.65335988998413,122.564735412598,39.9883155822754,39.0065155029297,91.3804092407227,9.24576663970947,8.50128936767578,126.372573852539,47.6854858398438,5.19158315658569,92.0778503417969,49.9073066711426,46.8308334350586,99.0896911621094,8.34756278991699,8.81792736053467,111.445358276367,45.7023506164551
571.02001953125,7.09814071655273,75.9542083740234,34.6487236022949,42.7663650512695,100.113349914551,8.08575057983398,6.45833301544189,90.5741882324219,38.4972457885742,5.95915126800537,95.8593368530273,36.5830497741699,38.8872985839844,96.7734603881836,8.12632751464844,10.500150680542,135.020401000977,44.7169609069824,8.50856685638428,98.6952590942383,41.8905410766602,51.0999526977539,101.368644714355,9.57276630401611,11.8689632415771,113.137084960938,42.1786270141602
572.049987792969,7.31963205337524,82.1637649536133,33.8963317871094,40.3772888183594,88.7438659667969,7.47585439682007,5.54633712768555,81.1834182739258,39.5946769714355,5.63302850723267,92.4575347900391,44.789608001709,45.0830955505371,95.6566925048828,6.78908252716065,7.8430438041687,120.769569396973,39.6283988952637,4.51142978668213,83.1592712402344,48.2973213195801,35.7789535522461,108.268051147461,6.35439777374268,5.75371360778809,104.860794067383,42.6269607543945
572.940002441406,6.78384208679199,84.8615264892578,26.8815860748291,36.7946891784668,88.5484008789063,6.47194671630859,6.28901720046997,89.7566299438477,32.1813049316406,3.6848611831665,96.5531997680664,39.981803894043,33.724983215332,77.3038787841797,6.65748405456543,8.3253583908081,111.405899047852,43.8187217712402,6.2034740447998,79.0791473388672,37.9989700317383,33.3333358764648,92.4387588500977,9.19035148620605,5.71218013763428,111.074592590332,44.515064239502
573.969970703125,5.34370803833008,68.7187347412109,41.2018013000488,29.8260726928711,82.139404296875,5.1356954574585,6.50667142868042,77.0747299194336,37.9998664855957,5.16372156143188,93.2150421142578,33.1762237548828,33.7688293457031,94.8637542724609,5.47675228118897,5.0132360458374,101.114265441895,41.8598327636719,5.72005367279053,77.4669647216797,35.3073539733887,36.4630165100098,99.0849838256836,6.70144939422607,6.98614740371704,108.058609008789,46.243709564209
575,6.0488748550415,70.6921997070312,23.2580604553223,35.258659362793,76.2810897827148,5.92768239974976,6.07888889312744,80.3471908569336,34.9164619445801,6.25614213943481,88.3793716430664,42.3299827575684,36.500244140625,89.9283065795898,5.02017450332642,4.39396095275879,94.3068618774414,39.781608581543,4.25867128372192,88.3365249633789,42.6275024414063,33.4124908447266,78.8507690429688,4.07766532897949,5.74146604537964,87.5608367919922,35.3207244873047
576.02001953125,4.28777885437012,66.1808624267578,24.8261184692383,28.9015979766846,70.5119323730469,5.69383430480957,3.44238114356995,68.1245727539063,30.0914726257324,6.12672901153564,76.7715148925781,37.5860252380371,32.3733520507812,86.0877914428711,5.00440216064453,2.94466876983643,98.6399307250977,27.0189685821533,5.54212760925293,78.6736755371094,34.7699661254883,32.6914978027344,90.1393356323242,4.48970127105713,5.39715766906738,87.8990783691406,33.6833953857422
577.049987792969,3.96871709823608,56.6891288757324,25.9992694854736,32.5723686218262,75.6730575561523,6.97613906860352,3.71092820167542,69.9557800292969,25.6591339111328,5.68381977081299,72.2582168579102,29.3279399871826,32.7218399047852,81.6241836547852,2.89915561676025,5.39249134063721,83.5945892333984,32.7600555419922,4.6954870223999,69.8321990966797,35.5382461547852,33.1759071350098,83.3431701660156,4.17452812194824,3.27388453483582,87.7073135375977,35.7774696350098
577.940002441406,4.49829483032227,57.158332824707,24.7709884643555,23.2151184082031,66.3060073852539,3.43895268440247,3.64130687713623,63.3955879211426,23.8123054504395,2.0421576499939,91.6635437011719,27.8340320587158,27.1742935180664,77.8033676147461,3.64963507652283,3.34471130371094,93.0134887695313,32.5358352661133,4.79284524917603,61.1494789123535,33.0559997558594,30.1178112030029,87.2197189331055,3.79087400436401,3.14696550369263,70.4031066894531,31.2349166870117
578.969970703125,1.12667775154114,62.2634086608887,26.2309722900391,26.5868911743164,66.2929382324219,3.28251504898071,3.9268536567688,66.1810607910156,24.5868873596191,3.43370318412781,59.8902168273926,28.4517211914062,26.375301361084,67.4719467163086,3.04031419754028,3.21440052986145,90.5883712768555,31.9339790344238,3.2973620891571,55.4588012695313,35.0756874084473,30.3440418243408,74.67138671875,2.859219789505,6.74152088165283,79.0595703125,30.4114933013916
580,3.77643513679504,56.3201904296875,24.4404754638672,31.5843811035156,63.2704734802246,4.30354356765747,2.97597599029541,66.9669876098633,26.7789897918701,3.47525954246521,59.5566558837891,26.9733753204346,21.9139804840088,61.633674621582,2.79690194129944,3.30101561546326,83.135498046875,27.7258796691895,1.1734219789505,60.663688659668,32.1967849731445,27.903450012207,73.5101623535156,3.20631957054138,4.46334218978882,78.3640441894531,34.3132743835449
581.039978027344,3.4619312286377,57.6799201965332,26.7144241333008,21.5643100738525,56.5141754150391,2.10053944587708,1.55338883399963,56.3310317993164,23.31667137146,2.73663473129272,62.4601516723633,23.5138702392578,30.6115207672119,68.1474227905273,3.41083097457886,3.7217423915863,78.3377151489258,26.0118408203125,3.38661932945251,55.6434288024902,24.3052997589111,24.4440784454346,66.4729309082031,3.63740801811218,2.11029171943665,71.5538177490234,29.521692276001
581.940002441406,2.08051085472107,43.1825408935547,19.4317970275879,19.6353435516357,57.9048538208008,3.264493227005,2.64424228668213,51.9867630004883,22.5806465148926,1.81818187236786,53.259895324707,22.194242477417,27.4026546478271,60.1716537475586,1.81142151355743,2.9859037399292,79.8311462402344,30.3312339782715,3.17039012908936,51.4212036132812,26.2961273193359,21.2685604095459,65.1060333251953,3.56551933288574,1.31828486919403,80.3226776123047,24.4691753387451
582.97998046875,4.68167018890381,49.1171798706055,18.700834274292,26.3751068115234,63.0114364624023,3.95567798614502,2.3788628578186,47.8473358154297,19.9108180999756,2.76781630516052,53.8265075683594,23.2772579193115,24.9602203369141,67.7109451293945,2.31537890434265,2.19549012184143,66.4821243286133,27.0728359222412,2.48313236236572,53.0782012939453,20.8117790222168,20.6698188781738,55.2179718017578,4.18791818618774,3.16642642021179,65.2881164550781,24.8796710968018
