Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample H9,Sample H10,Sample H11,Sample H12
,1,2,3,4
500,161.036102294922,54.1055297851562,75.5620880126953,85.0673904418945
501.059997558594,133.991165161133,28.3404636383057,41.9163780212402,39.7085151672363
501.959991455078,131.616760253906,17.376895904541,26.4571857452393,22.0585632324219
503.029998779297,135.807800292969,15.4828758239746,23.7665519714355,19.3935546875
503.929992675781,144.857711791992,15.7245359420776,25.8212337493896,19.7697105407715
505,152.982070922852,17.7790908813477,28.2245483398438,20.6642570495605
506.059997558594,164.095611572266,18.3348217010498,29.3938388824463,23.9640426635742
506.959991455078,165.368606567383,19.1518840789795,31.3689517974854,24.3672657012939
508.029998779297,171.517639160156,20.0985202789307,33.8112983703613,25.4812602996826
508.929992675781,177.240570068359,21.0801944732666,35.9517593383789,26.5792903900146
510,182.618576049805,22.0979042053223,36.9424057006836,27.2829284667969
511.040008544922,185.369018554687,22.4119815826416,38.0772743225098,27.96897315979
511.940002441406,183.836090087891,23.5712432861328,38.5014152526855,28.7731285095215
512.97998046875,189.874633789062,24.47194480896,38.9921226501465,28.7122764587402
514.02001953125,185.0166015625,24.0296878814697,40.7280158996582,29.5252590179443
515.070007324219,186.48762512207,24.4491271972656,41.6032066345215,30.1837158203125
515.969970703125,187.404968261719,24.1472244262695,41.911548614502,30.0077953338623
517.010009765625,181.939468383789,24.3893661499023,41.3518409729004,30.0526542663574
518.049987792969,178.802474975586,23.4835529327393,41.2350883483887,29.5095520019531
518.950012207031,176.352188110352,23.2236824035645,40.7077293395996,29.0763912200928
520,170.859558105469,23.7335205078125,39.1898040771484,28.8966026306152
521.059997558594,164.800323486328,22.1832637786865,39.4478759765625,27.8508548736572
521.960021972656,159.681793212891,22.1518173217773,37.8601112365723,27.2066802978516
523.030029296875,152.426864624023,22.177906036377,37.0506172180176,26.882640838623
523.929992675781,149.610870361328,21.1908321380615,35.7560119628906,25.7114906311035
525,140.321029663086,20.3474712371826,34.9251136779785,25.0329856872559
526.059997558594,133.310577392578,20.262186050415,34.3922958374023,24.5809078216553
526.960021972656,132.63835144043,19.4804058074951,31.8238391876221,23.9349365234375
528.030029296875,124.564002990723,18.7235164642334,31.505521774292,22.8179607391357
528.929992675781,120.392639160156,18.418249130249,29.7597694396973,21.6396808624268
530,115.119575500488,17.0396556854248,29.1515941619873,20.20237159729
531.039978027344,108.459419250488,16.8505764007568,27.391092300415,19.3519229888916
531.940002441406,105.778129577637,15.8706569671631,26.707426071167,19.2448616027832
532.97998046875,101.229248046875,15.0899744033813,24.2746620178223,17.9825077056885
534.02001953125,97.907470703125,15.2266101837158,23.5828876495361,17.874885559082
535.070007324219,92.8645248413086,13.7452573776245,22.7169551849365,17.2989635467529
535.969970703125,89.4599838256836,13.8709058761597,22.5681266784668,16.1693286895752
537.010009765625,86.0908355712891,12.8592443466187,21.2988338470459,16.0003509521484
538.049987792969,83.4015960693359,12.7638807296753,20.2621021270752,15.1127042770386
538.950012207031,79.8042755126953,12.0294008255005,19.5848121643066,14.4374122619629
540,77.900260925293,11.0046052932739,18.7632369995117,13.7414846420288
541.039978027344,75.3164596557617,11.4832792282104,18.5090370178223,13.3858060836792
541.940002441406,70.0585784912109,10.4195079803467,18.0954303741455,12.6848783493042
542.97998046875,70.70849609375,10.8402547836304,16.7547569274902,12.4433126449585
544.02001953125,67.069206237793,9.76191997528076,16.2755241394043,12.037992477417
545.070007324219,65.9835891723633,9.14840221405029,15.4405002593994,11.5552043914795
545.969970703125,64.1210250854492,9.25214767456055,15.2036371231079,11.2433919906616
547.010009765625,62.0498275756836,8.57079982757568,14.9330539703369,10.4757394790649
548.049987792969,58.7642364501953,8.60050392150879,13.8655052185059,10.1405019760132
548.950012207031,56.09130859375,8.19104194641113,13.9757499694824,9.98327350616455
550,55.0848960876465,8.06771469116211,13.697193145752,9.56651973724365
551.02001953125,53.3031044006348,7.47414684295654,12.683970451355,9.4028902053833
552.049987792969,51.9651565551758,6.96514701843262,12.0050449371338,8.8696460723877
552.940002441406,51.7812576293945,7.23712968826294,11.9667730331421,8.38180446624756
553.969970703125,50.6356964111328,6.75562906265259,11.542329788208,8.59665393829346
555,47.2764625549316,6.29486846923828,11.0884618759155,8.22002696990967
556.02001953125,45.1961364746094,6.51991033554077,10.3644714355469,7.87607383728027
557.049987792969,43.7827262878418,5.99542474746704,10.246826171875,7.66540098190308
557.940002441406,43.0346527099609,5.73518705368042,9.94826221466065,7.31092882156372
558.969970703125,42.402271270752,5.78982067108154,10.2508487701416,7.32431411743164
560,40.9176368713379,5.73813724517822,9.96620082855225,7.04900026321411
561.039978027344,38.6917304992676,5.39485454559326,9.06550121307373,6.62755107879639
561.940002441406,37.7042503356934,5.57290935516357,8.98569965362549,6.25420761108398
562.97998046875,36.391529083252,5.41964673995972,8.92083835601807,6.17610549926758
564.02001953125,34.530086517334,4.66364288330078,8.71595478057861,5.6373462677002
565.070007324219,32.7483291625977,4.92908811569214,8.20942306518555,6.02587938308716
565.969970703125,32.6715316772461,4.77393245697022,7.66869831085205,5.56474351882935
567.010009765625,30.7629909515381,4.33280467987061,7.92996883392334,5.04815101623535
568.049987792969,29.6728134155273,4.35485458374023,7.21714162826538,5.18235874176025
568.950012207031,27.6691017150879,3.84240674972534,6.71621084213257,5.09548473358154
570,27.6364612579346,3.97848391532898,6.69539880752563,4.43103170394897
571.02001953125,25.5999717712402,3.81576108932495,6.30071687698364,4.53825378417969
572.049987792969,25.2581024169922,3.60576915740967,5.95362997055054,4.24893093109131
572.940002441406,23.4711456298828,3.15237665176392,5.75768041610718,4.21671581268311
573.969970703125,22.5063056945801,3.1320641040802,5.76503992080689,4.0246729850769
575,21.2274684906006,2.90274453163147,5.27061033248901,3.71843338012695
576.02001953125,20.1646060943604,2.9545373916626,5.162672996521,3.90611267089844
577.049987792969,19.6646614074707,3.16237783432007,4.77532863616943,3.66021037101746
577.940002441406,18.7872657775879,2.7388756275177,4.12618350982666,3.3210916519165
578.969970703125,17.692699432373,2.4996874332428,4.64039134979248,3.05829215049744
580,17.200309753418,2.48895740509033,4.07763814926147,3.05028772354126
581.039978027344,15.2427339553833,2.26635026931763,3.73523664474487,2.96746516227722
581.940002441406,15.1835079193115,2.27996182441711,3.56903266906738,2.89470195770264
582.97998046875,14.4247198104858,2.13991618156433,3.46589493751526,2.64921021461487
584.02001953125,14.0570306777954,2.03372526168823,3.05902886390686,2.54139804840088
585.070007324219,12.919132232666,1.97329819202423,3.23933935165405,2.31349158287048
585.969970703125,13.0431718826294,2.08181357383728,2.78211140632629,2.0902419090271
587.010009765625,11.9110708236694,1.84100866317749,3.11247897148132,2.06252813339233
588.049987792969,11.4105281829834,1.61727464199066,2.93884944915771,2.13413238525391
588.950012207031,10.782772064209,1.57456493377686,2.57436060905457,2.05270314216614
590,10.9127588272095,1.57688641548157,2.96728205680847,2.08379507064819
591.02001953125,10.3365602493286,1.81695342063904,2.56321263313293,1.8585090637207
592.049987792969,9.94954299926758,1.40801417827606,2.46017265319824,1.70257127285004
592.940002441406,9.59696388244629,1.32298302650452,2.47083973884583,1.71309399604797
593.969970703125,9.15673637390137,1.48573517799377,2.32189345359802,1.72474789619446
595,8.506591796875,1.24288129806519,2.06639790534973,1.49221336841583
596.02001953125,8.495530128479,1.31366121768951,1.88638520240784,1.46654939651489
597.049987792969,7.70387077331543,1.09135556221008,1.90122401714325,1.33584582805634
597.940002441406,7.70018720626831,0.949736356735229,1.90543711185455,1.43231225013733
598.969970703125,7.73296356201172,0.95128870010376,1.68206381797791,1.2261198759079
600,7.25440549850464,1.15446996688843,1.84045350551605,1.16323482990265

Sample H9
Collection Time: 17-Apr-23 2:06:57 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        500.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               494.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   650
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 17-Apr-23 2:02:02 PM
Method Modifications:
PMT Volts Changed: 17-Apr-23 2:02:40 PM, Old:600, New:800
Well plate reader Changed: 17-Apr-23 2:02:40 PM, Old:OFF, New:ON
User Delta Stop Changed: 17-Apr-23 2:02:40 PM, Old: 450.00, New: 494.00
User Delta Increment Changed: 17-Apr-23 2:02:40 PM, Old:  10.00, New:   0.15
Emission PMT (V): Changed: 17-Apr-23 2:02:40 PM, Old: 600, New: 800
Excitation Wavelength Changed: 17-Apr-23 2:02:40 PM, Old: 350.00, New: 494.00
Emission Wavelength Changed: 17-Apr-23 2:02:40 PM, Old: 400.00, New: 500.00
Wellplate Samples Changed: 17-Apr-23 2:02:40 PM, Old:, New:A1;A2;A3;A4;
Wellplate Samples Changed: 17-Apr-23 2:04:13 PM, Old:A1;A2;A3;A4;, New:H9;H10;H11;H12;
