Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample B6,,Sample B7,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,Sample C6,,Sample C7,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,327.1079712,0.02116666548,364.4302368,0.0421666652,374.0289612,0.06258333474,389.1226807,0.08437500149,393.1202698,0.1047083288,33.96235657,0.1262083352,39.91555786,0.2767083347,399.6179199,0.2560416758,360.131012,0.2350833267,338.5702209,0.2140000015,371.6324768,0.1926666796,376.8900146,0.1718333364,34.56168747,0.1508750021,32.14902115,0.3007291853,399.2436829,0.3217291534,344.8421021,0.3428125083,355.1817017,0.363833338,344.983551,0.3843333125,334.6789856,0.4058750272,35.66871262,0.4268749952,45.39815521,
1.000833273,331.2490234,1.021562457,361.7342224,1.042062521,380.6913147,1.063416719,391.9263611,1.08397913,401.2466736,1.105145812,32.77313995,1.126875043,44.21556091,1.276875019,387.335083,1.255895853,378.5067444,1.234729171,356.3241882,1.214083314,382.2844238,1.192791581,383.3119812,1.17245841,35.97919083,1.151708364,33.84464645,1.301562548,397.3681946,1.322395802,349.3703308,1.342729211,358.9719238,1.364062548,352.2797241,1.384395838,337.3906555,1.405750036,35.0904274,1.426312566,43.63068008,
2.000833273,339.3538818,2.021895885,371.0603333,2.04239583,392.295929,2.063583374,376.4048157,2.08479166,419.7184753,2.105750084,30.59861565,2.126124859,39.17189026,2.278229237,375.3272095,2.257416725,364.8504639,2.237083435,368.9347229,2.215958357,379.4023438,2.194625139,374.4251099,2.173479319,35.53043747,2.153229237,36.10069275,2.304083347,397.0423584,2.325416565,347.3303528,2.345916748,362.5348816,2.366562366,344.7027283,2.388062477,347.5551453,2.408708334,35.18946075,2.429874897,42.28996277,
3.000833273,345.3741455,3.021562338,373.9916382,3.041729212,399.8586426,3.062791586,383.3851929,3.083979368,411.2677917,3.105208397,33.27584839,3.126208305,40.74582291,3.276479006,383.618927,3.255541801,369.132843,3.234208345,369.7235107,3.213979006,385.0426331,3.192958355,380.0097656,3.172062397,35.32194519,3.150541782,34.47703934,3.302875042,403.2867432,3.32420826,345.2282715,3.344375134,370.1793213,3.365541697,352.1585083,3.385895729,357.0191956,3.407375097,34.20732117,3.428208351,39.38949203,
4.000833511,356.5523682,4.021708488,372.4103699,4.043208122,398.3250732,4.064374924,389.9530029,4.085041523,412.8192749,4.106041908,30.78279305,4.127041817,40.30297089,4.278916359,369.9031677,4.257562637,364.8999329,4.237062454,369.2185364,4.215895653,378.3082886,4.195416927,380.3789673,4.173895836,38.42021942,4.153562546,31.66464424,4.305458546,389.6063232,4.326478958,339.0049744,4.346979141,346.3801575,4.368458748,346.1209106,4.38947916,361.7544861,4.41024971,34.15210342,4.430562496,41.16546631,
5.000833035,347.6611938,5.020895958,378.6147461,5.041291714,402.4473572,5.062208652,376.9356079,5.08354187,409.9136658,5.103896141,32.30718994,5.125374794,40.08300781,5.276895523,370.6612244,5.256249905,373.302124,5.235458374,361.351593,5.21404171,388.6815491,5.193541527,378.9191589,5.172395706,35.48151779,5.152062416,31.85310936,5.301541805,388.4253235,5.322541714,334.6226196,5.34304142,357.9173889,5.36408329,355.1205139,5.385583401,357.6040039,5.405916691,35.68617249,5.426791668,39.98726654,
6.000833035,359.1639404,6.021749973,386.139679,6.042916775,387.5626526,6.063416481,385.0693359,6.084708214,407.6937256,6.105541706,31.42397881,6.126395702,41.44205093,6.276374817,366.789093,6.25506258,370.7141418,6.234541893,363.1578979,6.213895798,380.0452576,6.193250179,383.3811951,6.171583652,35.93340302,6.150229454,34.69959641,6.300395489,384.1467285,6.321729183,335.5200195,6.342541695,358.7693481,6.363062382,349.8848877,6.383728981,357.7054138,6.40474987,36.62215805,6.425708294,39.58744812,
7.000833035,364.9241638,7.021958351,373.217865,7.042250156,403.497406,7.063374996,375.2181396,7.084374905,412.8432922,7.105062485,31.72581291,7.126374722,42.64102554,7.278375149,361.5401001,7.257062435,360.5960388,7.236708641,366.805542,7.215374947,384.3527832,7.194375038,390.8052673,7.174208641,37.31129074,7.152625084,31.00867081,7.304646015,382.9125671,7.325541496,342.5950012,7.345895767,366.603363,7.367228985,350.7796936,7.388250351,361.044342,7.408958435,36.21700668,7.429396152,42.23455811,
8.000833511,353.9475098,8.021645546,380.6712341,8.042041779,409.6346741,8.063374519,385.6955872,8.084395409,413.5952148,8.104895592,32.37605286,8.125729561,37.25839996,8.276708603,374.0583801,8.255374908,359.0759583,8.234229088,360.789093,8.213041306,380.5431824,8.192708015,393.3751831,8.172062874,35.20388031,8.150875092,33.11871719,8.302562714,382.7879028,8.323395729,341.3643188,8.344583511,352.4862976,8.365916252,358.0397034,8.386416435,361.817749,8.407250404,36.93423843,8.428208351,42.27982712,
