Sample A1,,Sample A2,,Sample A7,,Sample A8,,Sample B1,,Sample B2,,Sample B7,,Sample B8,,Sample C1,,Sample C2,,Sample C7,,Sample C8,,Sample D1,,Sample D2,,Sample D7,,Sample D8,,Sample E1,,Sample E2,,Sample E7,,Sample E8,,Sample F1,,Sample F2,,Sample F7,,Sample F8,,Sample G1,,Sample G2,,Sample G7,,Sample G8,,Sample H1,,Sample H2,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,0.4834962487,0.02149999887,0.5501693487,0.07112500072,0.4837227166,0.09300000221,0.4106881618,0.2100000083,0.5628540516,0.18916668,0.8483432531,0.1405416578,0.325822711,0.1200833321,0.4234087765,0.2348333299,0.5661129951,0.2556666732,0.562584579,0.3047083318,0.3471598625,0.3263958395,0.5479718447,0.4448749721,0.5193186998,0.4229999781,0.5226756334,0.3737291694,0.6973146796,0.353125006,0.4381481111,0.4686666727,0.5294873714,0.4895416498,0.5189605951,0.5386666656,0.4500130415,0.559333384,0.4871098399,0.67681247,0.5460344553,0.6559166312,0.5063478351,0.6070625186,0.1662233919,0.5862292051,0.4049191773,0.7028332949,0.2464936376,0.7243958116,0.4562951326,0.7731666565,0.3845724463,0.793874979,0.2747321129,0.8715416789,0.1997577995,0.8506667018,0.3001452684,
0.9695416689,1.005655408,0.9913333058,0.5209595561,1.041000009,0.7208567858,1.0625,0.3201926351,1.181895852,1.012983441,1.160166621,0.6230098009,1.110166669,0.7941285968,1.089333296,0.5549103618,1.209041715,0.6707855463,1.229499936,0.8129322529,1.278333306,0.5758473277,1.300229192,0.5719083548,1.414333344,0.5983428359,1.39487493,0.6326915622,1.346083283,0.2960542142,1.324208379,0.4906242788,1.439395785,0.5679129362,1.460312486,0.5939667821,,,,,,,,,,,,,,,,,,,,,,,,,

