Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample E1,Sample E2,Sample E3,Sample E4,Sample E5,Sample E6,Sample E7,Sample E8,Sample E9,Sample E10
,1,2,3,4,5,6,7,8,9,10
400,29.5830001831055,21.3038787841797,20.9211864471436,20.7910594940186,21.9043369293213,20.9305362701416,21.3300228118896,21.5840625762939,20.657735824585,5.22620105743408
401.070007324219,30.5323925018311,23.9033393859863,22.0198192596436,23.3179817199707,23.0972957611084,24.2652721405029,23.1027183532715,23.1507625579834,23.0337677001953,5.17312812805176
402,30.9995880126953,25.311710357666,24.9203300476074,24.5780067443848,25.9689712524414,25.4431171417236,25.5376529693604,25.9184627532959,25.3762874603271,5.34132528305054
403.070007324219,34.1280555725098,27.6307964324951,27.5617446899414,27.4257659912109,29.025032043457,28.4344882965088,27.2713260650635,27.4093723297119,27.8048152923584,5.39773511886597
404,37.0043296813965,29.7423667907715,29.1969757080078,28.3170738220215,31.2159481048584,29.5361442565918,28.7345161437988,29.3037719726562,30.0484523773193,5.61780738830566
405.070007324219,40.3840446472168,33.375373840332,32.4747886657715,31.7075996398926,35.1305313110352,31.9612140655518,32.5687217712402,32.3687057495117,32.5791091918945,5.53924703598022
406,41.1581230163574,34.8373031616211,34.6158485412598,33.0937538146973,38.3033752441406,34.792049407959,35.3170738220215,35.3427734375,36.2236671447754,5.9716272354126
407.070007324219,45.1274642944336,38.8896141052246,37.4015769958496,37.2329902648926,40.1598014831543,39.3950386047363,37.1978759765625,39.4689903259277,39.161808013916,6.01749038696289
408,48.3667869567871,41.813892364502,40.106803894043,39.2000312805176,43.5476722717285,41.2255249023438,42.0549621582031,41.2581024169922,41.9914703369141,6.15583562850952
409.070007324219,49.7406921386719,45.1502075195313,42.8455429077148,44.5718803405762,47.9701995849609,44.5245895385742,45.9279251098633,44.7055931091309,45.0438613891602,5.92152976989746
410,53.2522468566895,46.4155082702637,47.3442687988281,46.5121765136719,50.7764015197754,47.232967376709,48.2505874633789,48.2096138000488,48.2262916564941,6.68108940124512
411.059997558594,56.6251754760742,50.090217590332,49.2154159545898,51.1852531433105,54.7604141235352,52.8670387268066,53.7072105407715,53.8001174926758,51.584644317627,6.32522392272949
411.959991455078,60.4226875305176,52.4189453125,52.3011169433594,53.0323181152344,58.2564544677734,55.2720260620117,55.4511833190918,56.7823333740234,54.280689239502,6.26709079742432
413.029998779297,61.8526802062988,56.3722724914551,56.3900451660156,57.7038841247559,62.5053482055664,59.0349845886231,59.0116806030273,58.8041381835938,59.2405014038086,6.70473670959473
413.929992675781,64.841423034668,59.7474212646484,61.0595664978027,58.4355354309082,66.4658203125,62.1236457824707,62.1845321655273,62.1448631286621,61.8921089172363,6.37656164169311
415,70.0494995117187,61.6493186950684,65.256103515625,64.3229522705078,69.8141784667969,64.5754776000977,65.0104598999023,67.2887268066406,67.9612884521484,6.42050075531006
416.059997558594,72.9737014770508,65.4846420288086,67.766960144043,67.0381011962891,74.1389846801758,68.006706237793,69.0471801757812,71.3318862915039,70.8389663696289,6.8026385307312
416.959991455078,76.2197113037109,68.0631256103516,71.1113357543945,72.3625946044922,75.9907684326172,72.6640319824219,75.7326736450195,73.931396484375,74.6006011962891,6.54153680801392
418.029998779297,82.9864196777344,72.9197311401367,75.5949325561523,77.4476699829102,80.1075134277344,78.0415115356445,79.2215194702148,78.8916244506836,78.5645599365234,6.67104768753052
418.929992675781,84.492546081543,78.3664703369141,79.1543655395508,78.7227935791016,83.58935546875,80.5162124633789,82.4477005004883,82.3078155517578,81.0045013427734,6.81702613830566
420,87.529411315918,80.0877380371094,81.3729705810547,83.0941772460937,86.5615463256836,85.0105514526367,85.2820587158203,86.3318939208984,87.7694854736328,6.85787105560303
421.070007324219,90.1053771972656,88.2653274536133,83.2020568847656,86.4450454711914,90.9249114990234,83.5863494873047,89.4989242553711,91.4377822875977,89.692008972168,6.97405004501343
422,94.7460556030273,87.8453521728516,88.2941741943359,89.645881652832,94.2006912231445,90.7442398071289,92.7795944213867,94.5571517944336,92.2685012817383,6.72654008865356
423.070007324219,95.9707107543945,91.1717147827148,93.958854675293,93.9096755981445,95.8021774291992,93.4101181030273,96.4532012939453,96.1878051757812,97.7088928222656,6.87149286270142
