Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample E5,,Sample E6,,Sample E7,,Sample E8,,Sample E9,,Sample E10,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
512.9799805,102.015358,512.9799805,102.444252,512.9799805,101.3633499,512.9799805,107.4890518,512.9799805,108.2776566,512.9799805,104.9627991,512.9799805,108.675415,512.9799805,111.2552261,512.9799805,105.9644699,512.9799805,2.360557318,
514.0200195,95.68543243,514.0200195,103.0379791,514.0200195,100.3421555,514.0200195,104.6606827,514.0200195,103.3650818,514.0200195,105.6231995,514.0200195,110.2952957,514.0200195,111.3807755,514.0200195,104.6392059,514.0200195,1.955016017,
515.0700073,98.11429596,515.0700073,98.9063797,515.0700073,100.2497864,515.0700073,101.7746201,515.0700073,98.75885773,515.0700073,102.6489487,515.0700073,103.3116379,515.0700073,111.8491516,515.0700073,102.2690964,515.0700073,2.322571516,
515.9699707,93.98960876,515.9699707,99.10758209,515.9699707,98.69088745,515.9699707,97.79640198,515.9699707,101.3683777,515.9699707,97.4515686,515.9699707,102.7931595,515.9699707,106.431778,515.9699707,101.8462296,515.9699707,2.015752792,
517.0100098,92.60517883,517.0100098,96.5721283,517.0100098,91.37471771,517.0100098,99.52973938,517.0100098,98.58535767,517.0100098,99.15409088,517.0100098,100.7413483,517.0100098,107.1303406,517.0100098,99.28009796,517.0100098,2.232994795,
518.0499878,88.48970032,518.0499878,93.0873642,518.0499878,90.98327637,518.0499878,97.03469086,518.0499878,95.67731476,518.0499878,92.81558228,518.0499878,97.41972351,518.0499878,101.7753372,518.0499878,94.28865051,518.0499878,2.482377052,
518.9500122,88.76280975,518.9500122,91.66085815,518.9500122,90.75118256,518.9500122,92.7671814,518.9500122,94.46861267,518.9500122,94.69064331,518.9500122,95.70435333,518.9500122,100.8208542,518.9500122,93.36721802,518.9500122,2.369450569,
520,85.67678833,520,90.38465118,520,87.2634964,520,87.2649231,520,90.77458954,520,89.97908783,520,94.07364655,520,97.01143646,520,93.42054749,520,2.586497784,
521.0599976,82.78109741,521.0599976,88.46396637,521.0599976,83.15837097,521.0599976,88.12030029,521.0599976,86.80541992,521.0599976,87.00447083,521.0599976,89.55925751,521.0599976,93.68412781,521.0599976,88.49557495,521.0599976,2.514492035,
521.960022,82.49261475,521.960022,85.98657227,521.960022,81.06543732,521.960022,83.54676819,521.960022,86.03923035,521.960022,85.01035309,521.960022,88.75305939,521.960022,89.79506683,521.960022,84.26364136,521.960022,2.429993153,
523.0300293,78.4101944,523.0300293,81.44382477,523.0300293,80.6530838,523.0300293,84.2026825,523.0300293,84.78222656,523.0300293,85.09224701,523.0300293,86.67417145,523.0300293,90.77458954,523.0300293,81.91320038,523.0300293,2.47424221,
523.9299927,77.89348602,523.9299927,79.19368744,523.9299927,79.37577057,523.9299927,81.13143921,523.9299927,81.84023285,523.9299927,82.97969055,523.9299927,83.64155579,523.9299927,86.33787537,523.9299927,80.42789459,523.9299927,2.419445753,
525,74.55107117,525,80.52825165,525,75.72257996,525,79.52588654,525,77.18201447,525,76.3888855,525,79.81717682,525,82.51283264,525,80.15662384,525,2.428735733,
526.0599976,72.89808655,526.0599976,74.72999573,526.0599976,73.50358582,526.0599976,77.3477478,526.0599976,76.37696838,526.0599976,75.57929993,526.0599976,77.79447937,526.0599976,82.95960236,526.0599976,76.26628113,526.0599976,2.449343204,
526.960022,71.7714386,526.960022,73.18981171,526.960022,71.15925598,526.960022,74.42999268,526.960022,74.31276703,526.960022,73.25790405,526.960022,75.39646149,526.960022,81.13567352,526.960022,73.80961609,526.960022,2.597921848,
528.0300293,67.65865326,528.0300293,71.47422791,528.0300293,69.64097595,528.0300293,72.20054626,528.0300293,70.99991608,528.0300293,73.28144836,528.0300293,74.24668121,528.0300293,75.34609222,528.0300293,72.91456604,528.0300293,2.081053257,
528.9299927,65.32579803,528.9299927,67.62117767,528.9299927,66.81387329,528.9299927,70.48362732,528.9299927,69.68047333,528.9299927,71.99865723,528.9299927,73.61008453,528.9299927,75.15740204,528.9299927,70.47899628,528.9299927,2.350792408,
530,65.89369965,530,66.37459564,530,64.5834198,530,67.75144958,530,67.79478455,530,69.24662018,530,69.99408722,530,70.6254425,530,67.21936798,530,2.257633686,
531.039978,63.97886658,531.039978,64.51430511,531.039978,61.46311951,531.039978,65.05805969,531.039978,64.8615799,531.039978,64.77754211,531.039978,69.31299591,531.039978,72.19169617,531.039978,65.86769867,531.039978,2.17002821,
531.9400024,59.9824028,531.9400024,63.95113373,531.9400024,63.36201859,531.9400024,63.79422379,531.9400024,65.14084625,531.9400024,64.15801239,531.9400024,65.67705536,531.9400024,68.23107147,531.9400024,64.23258972,531.9400024,2.236552715,
532.9799805,59.44533539,532.9799805,59.73420334,532.9799805,60.88189316,532.9799805,62.05744171,532.9799805,61.7264595,532.9799805,61.85192108,532.9799805,63.98169708,532.9799805,66.66667175,532.9799805,61.50781631,532.9799805,2.312160492,
534.0200195,57.63887787,534.0200195,58.51411057,534.0200195,59.81816483,534.0200195,58.829216,534.0200195,61.04918671,534.0200195,60.98374176,534.0200195,60.67794037,534.0200195,64.50120544,534.0200195,60.87468338,534.0200195,2.238939762,
535.0700073,55.19912338,535.0700073,56.89048767,535.0700073,56.26021576,535.0700073,57.57773972,535.0700073,59.19770813,535.0700073,58.00534821,535.0700073,60.97296524,535.0700073,62.35676956,535.0700073,57.78821945,535.0700073,2.475075006,
535.9699707,55.15192032,535.9699707,55.62859344,535.9699707,54.48264313,535.9699707,55.30816269,535.9699707,55.30280304,535.9699707,56.29428482,535.9699707,58.01435471,535.9699707,59.32435989,535.9699707,55.79639816,535.9699707,2.189196348,
537.0100098,53.609478,537.0100098,53.23423767,537.0100098,53.48374939,537.0100098,55.0331192,537.0100098,55.94113922,537.0100098,55.9630394,537.0100098,56.98516083,537.0100098,59.10549164,537.0100098,54.76060104,537.0100098,1.99621594,
538.0499878,51.07978821,538.0499878,52.02084732,538.0499878,51.52570724,538.0499878,54.46847916,538.0499878,53.47101593,538.0499878,52.79576874,538.0499878,54.92111206,538.0499878,56.3457222,538.0499878,53.19128418,538.0499878,2.158460855,
538.9500122,49.25521088,538.9500122,52.52583313,538.9500122,48.84309387,538.9500122,53.12049484,538.9500122,49.31219864,538.9500122,53.59108353,538.9500122,52.35509491,538.9500122,55.64254761,538.9500122,51.46592712,538.9500122,1.900693059,
540,48.57611847,540,48.13082123,540,48.97603226,540,50.91000748,540,49.79029465,540,49.76376724,540,51.12451553,540,53.15666199,540,50.22973633,540,1.926502109,
541.039978,47.20113754,541.039978,48.3707695,541.039978,47.57402039,541.039978,50.03115082,541.039978,48.14139938,541.039978,47.51817322,541.039978,49.90258408,541.039978,49.90923691,541.039978,48.13848877,541.039978,2.090134859,
541.9400024,46.06155014,541.9400024,46.72714615,541.9400024,46.12320709,541.9400024,47.00714111,541.9400024,47.40743256,541.9400024,48.82077789,541.9400024,48.14681244,541.9400024,49.8013649,541.9400024,46.84582138,541.9400024,2.41178441,
542.9799805,43.95415497,542.9799805,45.88869858,542.9799805,44.18665695,542.9799805,46.44894028,542.9799805,45.42669678,542.9799805,44.63750839,542.9799805,46.75403214,542.9799805,48.16013336,542.9799805,45.54504013,542.9799805,2.322747707,
544.0200195,43.70570755,544.0200195,45.01619339,544.0200195,41.93122864,544.0200195,45.4805336,544.0200195,44.04989624,544.0200195,43.53879929,544.0200195,44.71057892,544.0200195,46.10284424,544.0200195,43.08463287,544.0200195,2.255705357,
545.0700073,40.50070953,545.0700073,42.55077362,545.0700073,41.20529938,545.0700073,41.54678726,545.0700073,41.30744553,545.0700073,42.57556534,545.0700073,43.45703888,545.0700073,45.15174103,545.0700073,42.24569321,545.0700073,2.215172052,
545.9699707,39.9788208,545.9699707,41.31170654,545.9699707,40.56977844,545.9699707,41.21867371,545.9699707,41.1708374,545.9699707,42.72438049,545.9699707,41.24933243,545.9699707,43.515728,545.9699707,41.70084,545.9699707,2.365756989,
547.0100098,40.58454514,547.0100098,39.41916275,547.0100098,40.33138657,547.0100098,41.19581604,547.0100098,39.33998871,547.0100098,40.15404892,547.0100098,40.1601944,547.0100098,41.39762497,547.0100098,38.67645645,547.0100098,2.219813108,
548.0499878,37.0136528,548.0499878,38.54906845,548.0499878,37.66407394,548.0499878,38.73510742,548.0499878,39.93727112,548.0499878,37.63963699,548.0499878,40.121521,548.0499878,42.08894348,548.0499878,37.82062149,548.0499878,2.236390591,
548.9500122,37.34288788,548.9500122,36.73058319,548.9500122,36.60432053,548.9500122,36.92433548,548.9500122,38.13274765,548.9500122,37.86151123,548.9500122,38.78359222,548.9500122,39.91746521,548.9500122,36.49441528,548.9500122,2.392297506,
550,34.96476364,550,36.46461868,550,34.83456421,550,37.20669174,550,36.7625351,550,34.20376968,550,36.08927917,550,36.90887833,550,35.19429398,550,2.135991335,

Sample E1,
Sample E1
Collection Time: 21-May-24 3:01:40 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E2,
Sample E2
Collection Time: 21-May-24 3:02:09 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E3,
Sample E3
Collection Time: 21-May-24 3:02:26 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E4,
Sample E4
Collection Time: 21-May-24 3:02:42 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E5,
Sample E5
Collection Time: 21-May-24 3:02:59 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E6,
Sample E6
Collection Time: 21-May-24 3:03:15 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E7,
Sample E7
Collection Time: 21-May-24 3:03:32 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E8,
Sample E8
Collection Time: 21-May-24 3:03:48 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E9,
Sample E9
Collection Time: 21-May-24 3:04:05 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

Sample E10,
Sample E10
Collection Time: 21-May-24 3:04:21 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         550.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Method Log     :
Method Name    : Default
Date/Time stamp: 21-May-24 3:01:01 PM
Method Modifications:
Well plate reader Changed: 21-May-24 3:01:37 PM, Old:OFF, New:ON
Ex. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Em. Slit Width (nm): Changed: 21-May-24 3:01:37 PM, Old:5, New:10
Stop Wavelength Changed: 21-May-24 3:01:37 PM, Old: 600.00, New: 550.00
Wellplate Samples Changed: 21-May-24 3:01:37 PM, Old:, New:E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;
End Method Modifications

