Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample E5,,Sample E6,,Sample E7,,Sample E8,,Sample E9,,Sample E10,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
427.0700073,108.4697876,427.0700073,113.6983337,427.0700073,103.8907089,427.0700073,110.2618332,427.0700073,110.819046,427.0700073,107.6207428,427.0700073,114.7501297,427.0700073,119.2845535,427.0700073,108.2612457,427.0700073,8.630223274,
428,109.0318375,428,113.0424652,428,110.0859375,428,111.7694244,428,112.1312485,428,108.946907,428,117.0131989,428,118.1427536,428,110.0649643,428,9.045866966,
429.0700073,110.3485413,429.0700073,112.5714188,429.0700073,111.1806335,429.0700073,115.8084488,429.0700073,118.2185364,429.0700073,115.415657,429.0700073,114.8181686,429.0700073,121.7714767,429.0700073,110.8746567,429.0700073,8.759648323,
430,115.3532181,430,117.2754517,430,115.5826797,430,118.816391,430,119.9679718,430,114.6294098,430,117.7959366,430,125.0460892,430,112.85186,430,8.713253021,
431.0599976,118.395256,431.0599976,123.5627975,431.0599976,114.360527,431.0599976,115.8739777,431.0599976,117.7256317,431.0599976,119.3581161,431.0599976,121.0383835,431.0599976,127.8330841,431.0599976,117.2773819,431.0599976,8.955685616,
431.9599915,118.0799789,431.9599915,119.9564209,431.9599915,117.5224609,431.9599915,122.8211517,431.9599915,120.626564,431.9599915,119.4743805,431.9599915,120.5315323,431.9599915,127.5066452,431.9599915,114.9137726,431.9599915,8.356863022,
433.0299988,122.0116959,433.0299988,122.5149536,433.0299988,118.2086258,433.0299988,120.7623215,433.0299988,125.6829681,433.0299988,124.0147934,433.0299988,127.0906296,433.0299988,128.1450806,433.0299988,121.8331375,433.0299988,7.992443562,
433.9299927,122.8774948,433.9299927,124.7860413,433.9299927,121.8194885,433.9299927,124.5606918,433.9299927,125.9993286,433.9299927,122.3368683,433.9299927,129.00914,433.9299927,134.8012543,433.9299927,122.0616302,433.9299927,8.57937336,
435,122.2354813,435,125.4390793,435,125.3026733,435,128.5562592,435,126.8944321,435,123.8718567,435,128.7944489,435,134.8383484,435,123.9526062,435,8.951828957,
436.0599976,124.8310318,436.0599976,130.5544891,436.0599976,126.197052,436.0599976,128.2875214,436.0599976,127.1270218,436.0599976,129.127655,436.0599976,128.7015533,436.0599976,139.9412689,436.0599976,126.1424866,436.0599976,9.093340874,
436.9599915,129.6807556,436.9599915,129.013382,436.9599915,125.0184937,436.9599915,127.6618576,436.9599915,128.6685028,436.9599915,127.2280197,436.9599915,133.1084747,436.9599915,138.9864349,436.9599915,125.83004,436.9599915,9.149849892,
438.0299988,129.3626099,438.0299988,132.6388092,438.0299988,130.3799438,438.0299988,134.5902863,438.0299988,132.1620178,438.0299988,132.32901,438.0299988,136.9416962,438.0299988,142.8729706,438.0299988,129.0274506,438.0299988,9.827065468,
438.9299927,131.6802521,438.9299927,134.3562164,438.9299927,132.8159943,438.9299927,133.6592712,438.9299927,134.2743835,438.9299927,130.5037842,438.9299927,136.4064636,438.9299927,141.180542,438.9299927,133.473938,438.9299927,9.788608551,
440,135.5312042,440,138.7721863,440,132.1761932,440,133.128479,440,136.1195221,440,133.2597351,440,137.2960358,440,141.0956268,440,132.0457153,440,9.966173172,
441.0700073,138.1984253,441.0700073,139.0737915,441.0700073,132.8567047,441.0700073,136.8372498,441.0700073,139.2717285,441.0700073,137.9956055,441.0700073,139.0474243,441.0700073,145.4775848,441.0700073,130.7387695,441.0700073,10.67930698,
