Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3
,1,2,3,4,5,6,7,8,9
570,10.2305307388306,86.7496337890625,41.1101951599121,44.9270401000977,93.544075012207,12.983603477478,10.3352355957031,102.216232299805,35.7682838439941
571.02001953125,6.88136529922485,84.9940719604492,35.3959159851074,43.1038436889648,94.961051940918,7.65934419631958,10.8794412612915,94.197135925293,45.5200309753418
572.049987792969,8.43775177001953,83.1393432617187,37.1568908691406,43.3348617553711,94.9936447143555,7.60307836532593,11.3688039779663,91.4456939697266,31.1732044219971
572.940002441406,9.95024871826172,82.760871887207,34.5786018371582,36.0157203674316,88.033805847168,11.6644124984741,7.26221370697021,91.5123062133789,41.4356498718262
573.969970703125,7.63574647903442,79.9559173583984,33.4305992126465,40.1361198425293,85.5564498901367,6.93884134292602,8.88208961486816,78.3649139404297,31.7786483764648
575,7.15396595001221,80.9103012084961,26.8210697174072,36.1580047607422,74.5993728637695,8.74581241607666,6.8004002571106,84.058464050293,37.7384796142578
576.02001953125,6.24512100219727,68.7449188232422,32.3560523986816,29.5852432250977,73.7030715942383,7.68589687347412,5.05638933181763,69.418830871582,34.7614440917969
577.049987792969,6.79749250411987,72.7960052490234,24.0548248291016,29.0908222198486,75.7481231689453,5.65441131591797,6.95820331573486,71.464599609375,28.1657123565674
577.940002441406,6.23276996612549,66.1642150878906,22.6708431243896,25.8834056854248,69.595947265625,4.83893585205078,5.23584461212158,67.3150177001953,28.7300872802734
578.969970703125,6.22360515594482,50.0955543518066,25.1108856201172,27.9125652313232,77.6737442016602,4.18351030349731,6.31301641464233,54.6096496582031,26.0263252258301
580,6.82115030288696,57.8147392272949,25.1773738861084,25.7707805633545,67.4464874267578,7.33770513534546,3.00463700294495,56.7954597473145,26.6924018859863
581.039978027344,3.81268715858459,51.5347175598145,21.8232440948486,26.5983581542969,71.8812103271484,6.16296005249023,4.60554933547974,60.1372947692871,22.7298927307129
581.940002441406,4.09204721450806,46.4784736633301,17.4942321777344,21.1761379241943,60.1996994018555,2.69734787940979,6.37803506851196,54.7184753417969,23.7370796203613
582.97998046875,2.35328006744385,46.3017387390137,18.2916355133057,21.1627750396729,53.7819061279297,5.06174850463867,4.74923133850098,55.676700592041,18.9075145721436
584.02001953125,3.74146485328674,39.0186347961426,16.0069980621338,22.0009078979492,52.4157028198242,3.13412642478943,2.36395859718323,51.1750411987305,19.7942676544189
585.070007324219,3.44680047035217,43.3994636535645,17.5861225128174,19.2093944549561,51.7687034606934,3.31117820739746,3.21720743179321,49.0517120361328,20.5732421875
585.969970703125,3.83023262023926,44.8351020812988,13.0342750549316,24.572338104248,53.7388610839844,5.11148118972778,3.23928451538086,39.1949157714844,19.4185924530029
587.010009765625,1.85984408855438,47.4782409667969,16.1919631958008,18.9083957672119,51.7634773254395,3.0570170879364,3.12688207626343,39.2388610839844,23.2252101898193
588.049987792969,3.80683827400207,35.838207244873,14.6644792556763,18.4768028259277,51.4063568115234,5.24658966064453,2.7415235042572,41.0639381408691,17.23779296875
588.950012207031,5.0943169593811,33.0441856384277,14.206615447998,17.2677803039551,50.0723991394043,3.07223272323608,2.78943347930908,46.9942474365234,13.7119083404541
590,2.61913418769836,33.6949234008789,16.0893516540527,16.5925216674805,47.7344970703125,2.74471831321716,2.28436779975891,40.0927543640137,18.5569458007813
591.02001953125,3.53160285949707,35.8639945983887,15.8027334213257,18.6150932312012,42.8414154052734,3.55331134796143,3.63425922393799,38.7920684814453,20.7323398590088
592.049987792969,2.08428144454956,33.0299110412598,14.2699775695801,21.0200347900391,41.4325332641602,2.70803165435791,2.77764582633972,40.8727645874023,16.4318675994873
592.940002441406,1.29478847980499,34.3619194030762,12.8842086791992,16.5826187133789,37.2504730224609,1.38049221038818,0.830840766429901,38.3787689208984,16.9444255828857
593.969970703125,4.60413885116577,37.4278144836426,11.458083152771,17.4077529907227,39.0881767272949,2.11510896682739,3.82395386695862,37.9743843078613,13.3320951461792
595,3.3899097442627,36.3923683166504,13.1674814224243,14.984917640686,41.0394439697266,2.17237305641174,2.14302921295166,37.0544090270996,13.9064474105835
596.02001953125,2.72647523880005,30.8371124267578,11.4608106613159,17.4381809234619,35.2773971557617,3.13920259475708,2.58681678771973,36.8916244506836,16.8788661956787
597.049987792969,1.88009691238403,32.0034332275391,14.8823699951172,16.8721599578857,35.8850555419922,3.87641096115112,2.82267785072327,33.1118087768555,11.1173000335693
597.940002441406,1.75026369094849,34.4151077270508,15.2297677993774,13.6902523040771,40.7662086486816,1.88826215267181,2.19683647155762,33.2813568115234,14.9415483474731
598.969970703125,2.82071018218994,34.6510848999023,13.4842109680176,14.6722116470337,32.8689613342285,2.06562495231628,1.38966774940491,29.5804996490479,13.522289276123
600,2.39785146713257,30.9550399780273,13.0796384811401,13.0840253829956,29.084846496582,2.26539444923401,4.31790924072266,30.2108612060547,14.1042652130127
601.02001953125,2.86470365524292,31.5342617034912,13.9099893569946,11.8613777160645,36.1177062988281,1.59862565994263,1.65078771114349,34.4059677124023,14.0195617675781
602.049987792969,0.966510415077209,26.3145484924316,10.8897352218628,13.848240852356,34.5951232910156,1.5899350643158,1.44803690910339,32.7891998291016,13.4070358276367
602.940002441406,1.06778085231781,27.9476833343506,17.9896221160889,16.1358032226562,34.4405174255371,0.810635566711426,2.89559650421143,35.4637565612793,13.0886363983154
