Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
72.0008316,32.8371048,72.02287292,336.3105469,72.04283142,300.2116699,72.06364441,279.9197388,72.08486938,289.7411804,72.10520935,292.9351196,
73.0008316,31.00486565,73.02116394,351.976532,73.04216003,299.697937,73.06299591,288.3280334,73.08403778,296.5657349,73.10506439,283.2610474,
74.0008316,29.96570969,74.02179718,354.9926147,74.04329681,308.3045654,74.06395721,290.6953735,74.08496094,287.613739,74.10595703,287.2630005,
75.0008316,30.96654701,75.02171326,352.9751587,75.04216003,307.0873108,75.06295776,285.9025879,75.08439636,285.1503601,75.10504913,285.9468079,
76.0008316,32.50631714,76.02062225,357.0377808,76.04154205,301.1996765,76.06195831,271.1322937,76.08297729,298.5958252,76.10383606,281.6797485,
77.0008316,31.53591156,77.02099609,346.8565979,77.04155731,290.5354309,77.06256866,291.3540955,77.08280945,284.7854004,77.10379028,285.1775818,
78.0008316,32.86818314,78.02116394,344.8215332,78.04245758,297.8941345,78.06278992,284.6313477,78.08348083,294.2500305,78.10464478,280.5258789,
79.0008316,32.23051453,79.02187347,352.703186,79.04296112,301.5235596,79.0634613,284.8139343,79.08381653,292.5610046,79.10498047,282.7286072,
80.0008316,32.26250076,80.02128601,345.6522217,80.04262543,300.2857971,80.06281281,281.1174011,80.08399963,292.4814148,80.10478973,281.7898254,
81.0008316,33.2604866,81.02179718,343.0028076,81.04312134,303.6676025,81.06347656,283.2597046,81.08467102,292.5981445,81.10547638,285.7431641,
82.0008316,32.12020111,82.0216217,352.1541138,82.04212189,304.9525146,82.0634613,284.8329773,82.08366394,292.9069519,82.10483551,279.5869751,
83.0008316,30.65073776,83.02181244,350.8552551,83.04262543,306.2805176,83.06328583,283.7443848,83.08356476,288.8059082,83.10453796,283.219696,
84.0008316,32.96034241,84.02165985,337.3442993,84.04316711,302.5135193,84.06381226,290.4318542,84.08483124,281.7034302,84.10570526,288.2987366,
85.0008316,32.63300705,85.02104187,335.9715576,85.0417099,294.2119446,85.06253815,283.3261719,85.0840683,290.2019653,85.10487366,272.9291992,
86.0008316,32.80237961,86.02199554,350.1178284,86.04245758,302.4519348,86.06422424,282.3889465,86.08529663,285.2011108,86.10631561,285.7713928,
87.0008316,32.51704788,87.02231598,338.1282043,87.04364777,297.3994446,87.0647049,279.8686218,87.08533478,289.0116577,87.10587311,281.4707947,
88.0008316,32.34574127,88.02114105,343.9204407,88.04196167,297.995697,88.06295776,278.4023438,88.08397675,280.8023682,88.10447693,289.1060791,
89.0008316,28.28367043,89.02099609,340.3033142,89.04196167,314.1714172,89.06331635,280.8126221,89.08470917,281.644104,89.10504913,282.2339478,
90.0008316,32.77557755,90.02146149,337.2008362,90.04228973,297.5447388,90.06253815,277.1831055,90.08414459,286.090271,90.10487366,276.4127502,

Sample A1,
Sample A1
Collection Time: 13-Feb-26 1:24:57 PM
Operator Name  :
Kinetics Software Version: 1.2(146)
Parameter List :
Report Time: Fri 13 Feb 01:24:57 PM 2026
Software version: 1.2(146)
Operator:
Instrument Parameters
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Ex. wavelength (nm)               495.00
Em. wavelength (nm)               515.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Averaging Time (s)                0.1000
Cycle time(min)                   1.0000
Stop time(min)                    90.0000
Emission filter                   Open
Excitation Filter                 Auto
PMT voltage (V)                   High
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Comments:
Method Log     :
Method Name    : Default
Date/Time stamp: 13-Feb-26 1:18:47 PM
Method Modifications:
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Individual, New:Choice 1
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay all, New:Choice 2
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay rows, New:Choice 3
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay columns, New:Choice 4
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:User defined, New:Overlay columns
Well plate reader Changed: 13-Feb-26 1:21:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 400.00, New: 495.00
Emission Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 600.00, New: 515.00
Wellplate Samples Changed: 13-Feb-26 1:21:04 PM, Old:, New:A1;A2;A3;A4;A5;A6;
PMT Volts Changed: 13-Feb-26 1:21:40 PM, Old:600, New:800
Emission PMT (V): Changed: 13-Feb-26 1:21:40 PM, Old: 600, New: 800
Cycle Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 0.0000, New: 1.0000
Stop Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 1.0000, New:90.0000
End Method Modifications

Sample A2,
Sample A2
Collection Time: 13-Feb-26 1:24:57 PM
Operator Name  :
Kinetics Software Version: 1.2(146)
Parameter List :
Report Time: Fri 13 Feb 01:24:57 PM 2026
Software version: 1.2(146)
Operator:
Instrument Parameters
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Ex. wavelength (nm)               495.00
Em. wavelength (nm)               515.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Averaging Time (s)                0.1000
Cycle time(min)                   1.0000
Stop time(min)                    90.0000
Emission filter                   Open
Excitation Filter                 Auto
PMT voltage (V)                   High
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Comments:
Method Log     :
Method Name    : Default
Date/Time stamp: 13-Feb-26 1:18:47 PM
Method Modifications:
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Individual, New:Choice 1
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay all, New:Choice 2
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay rows, New:Choice 3
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay columns, New:Choice 4
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:User defined, New:Overlay columns
Well plate reader Changed: 13-Feb-26 1:21:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 400.00, New: 495.00
Emission Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 600.00, New: 515.00
Wellplate Samples Changed: 13-Feb-26 1:21:04 PM, Old:, New:A1;A2;A3;A4;A5;A6;
PMT Volts Changed: 13-Feb-26 1:21:40 PM, Old:600, New:800
Emission PMT (V): Changed: 13-Feb-26 1:21:40 PM, Old: 600, New: 800
Cycle Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 0.0000, New: 1.0000
Stop Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 1.0000, New:90.0000
End Method Modifications

Sample A3,
Sample A3
Collection Time: 13-Feb-26 1:24:57 PM
Operator Name  :
Kinetics Software Version: 1.2(146)
Parameter List :
Report Time: Fri 13 Feb 01:24:57 PM 2026
Software version: 1.2(146)
Operator:
Instrument Parameters
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Ex. wavelength (nm)               495.00
Em. wavelength (nm)               515.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Averaging Time (s)                0.1000
Cycle time(min)                   1.0000
Stop time(min)                    90.0000
Emission filter                   Open
Excitation Filter                 Auto
PMT voltage (V)                   High
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Comments:
Method Log     :
Method Name    : Default
Date/Time stamp: 13-Feb-26 1:18:47 PM
Method Modifications:
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Individual, New:Choice 1
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay all, New:Choice 2
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay rows, New:Choice 3
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay columns, New:Choice 4
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:User defined, New:Overlay columns
Well plate reader Changed: 13-Feb-26 1:21:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 400.00, New: 495.00
Emission Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 600.00, New: 515.00
Wellplate Samples Changed: 13-Feb-26 1:21:04 PM, Old:, New:A1;A2;A3;A4;A5;A6;
PMT Volts Changed: 13-Feb-26 1:21:40 PM, Old:600, New:800
Emission PMT (V): Changed: 13-Feb-26 1:21:40 PM, Old: 600, New: 800
Cycle Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 0.0000, New: 1.0000
Stop Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 1.0000, New:90.0000
End Method Modifications

Sample A4,
Sample A4
Collection Time: 13-Feb-26 1:24:57 PM
Operator Name  :
Kinetics Software Version: 1.2(146)
Parameter List :
Report Time: Fri 13 Feb 01:24:57 PM 2026
Software version: 1.2(146)
Operator:
Instrument Parameters
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Ex. wavelength (nm)               495.00
Em. wavelength (nm)               515.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Averaging Time (s)                0.1000
Cycle time(min)                   1.0000
Stop time(min)                    90.0000
Emission filter                   Open
Excitation Filter                 Auto
PMT voltage (V)                   High
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Comments:
Method Log     :
Method Name    : Default
Date/Time stamp: 13-Feb-26 1:18:47 PM
Method Modifications:
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Individual, New:Choice 1
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay all, New:Choice 2
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay rows, New:Choice 3
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay columns, New:Choice 4
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:User defined, New:Overlay columns
Well plate reader Changed: 13-Feb-26 1:21:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 400.00, New: 495.00
Emission Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 600.00, New: 515.00
Wellplate Samples Changed: 13-Feb-26 1:21:04 PM, Old:, New:A1;A2;A3;A4;A5;A6;
PMT Volts Changed: 13-Feb-26 1:21:40 PM, Old:600, New:800
Emission PMT (V): Changed: 13-Feb-26 1:21:40 PM, Old: 600, New: 800
Cycle Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 0.0000, New: 1.0000
Stop Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 1.0000, New:90.0000
End Method Modifications

Sample A5,
Sample A5
Collection Time: 13-Feb-26 1:24:57 PM
Operator Name  :
Kinetics Software Version: 1.2(146)
Parameter List :
Report Time: Fri 13 Feb 01:24:57 PM 2026
Software version: 1.2(146)
Operator:
Instrument Parameters
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Ex. wavelength (nm)               495.00
Em. wavelength (nm)               515.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Averaging Time (s)                0.1000
Cycle time(min)                   1.0000
Stop time(min)                    90.0000
Emission filter                   Open
Excitation Filter                 Auto
PMT voltage (V)                   High
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Comments:
Method Log     :
Method Name    : Default
Date/Time stamp: 13-Feb-26 1:18:47 PM
Method Modifications:
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Individual, New:Choice 1
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay all, New:Choice 2
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay rows, New:Choice 3
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay columns, New:Choice 4
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:User defined, New:Overlay columns
Well plate reader Changed: 13-Feb-26 1:21:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 400.00, New: 495.00
Emission Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 600.00, New: 515.00
Wellplate Samples Changed: 13-Feb-26 1:21:04 PM, Old:, New:A1;A2;A3;A4;A5;A6;
PMT Volts Changed: 13-Feb-26 1:21:40 PM, Old:600, New:800
Emission PMT (V): Changed: 13-Feb-26 1:21:40 PM, Old: 600, New: 800
Cycle Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 0.0000, New: 1.0000
Stop Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 1.0000, New:90.0000
End Method Modifications

Sample A6,
Sample A6
Collection Time: 13-Feb-26 1:24:57 PM
Operator Name  :
Kinetics Software Version: 1.2(146)
Parameter List :
Report Time: Fri 13 Feb 01:24:57 PM 2026
Software version: 1.2(146)
Operator:
Instrument Parameters
Instrument                        Cary Eclipse
Instrument Serial Number          MY18160001
Data mode                         Fluorescence
Ex. wavelength (nm)               495.00
Em. wavelength (nm)               515.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Averaging Time (s)                0.1000
Cycle time(min)                   1.0000
Stop time(min)                    90.0000
Emission filter                   Open
Excitation Filter                 Auto
PMT voltage (V)                   High
Wellplate                         ON
Plate format                     96 Wells
Read position                    Well centre
Multi-zero                       OFF
Auto-zero                        OFF
Well                            A1
Comments:
Method Log     :
Method Name    : Default
Date/Time stamp: 13-Feb-26 1:18:47 PM
Method Modifications:
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Individual, New:Choice 1
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay all, New:Choice 2
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay rows, New:Choice 3
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:Overlay columns, New:Choice 4
Wellplate Overlay Mode Changed: 13-Feb-26 1:18:50 PM, Old:User defined, New:Overlay columns
Well plate reader Changed: 13-Feb-26 1:21:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 400.00, New: 495.00
Emission Wavelength Changed: 13-Feb-26 1:21:04 PM, Old: 600.00, New: 515.00
Wellplate Samples Changed: 13-Feb-26 1:21:04 PM, Old:, New:A1;A2;A3;A4;A5;A6;
PMT Volts Changed: 13-Feb-26 1:21:40 PM, Old:600, New:800
Emission PMT (V): Changed: 13-Feb-26 1:21:40 PM, Old: 600, New: 800
Cycle Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 0.0000, New: 1.0000
Stop Time 1 Changed: 13-Feb-26 1:22:19 PM, Old: 1.0000, New:90.0000
End Method Modifications

