Well,Concentration / mM,Uncertainty / mM
A09,0.3361320176523508,0.030432970332535857
A10,0.3299382545852153,0.030362201258019843
A11,0.31290540615059337,0.030194144992347793
B09,0.34628588873114063,0.026129222557170824
B10,0.34527368490742305,0.026117947387024668
B11,0.2734072134234705,0.025617063987455675
C09,0.3425485535718729,0.09488753700295445
