Quality Indicator	Measurement Type	Result State	Sample Name	Record Created Date	Measurement Start Date And Time	Temperature (°C)	Z-Average (nm)	Polydispersity Index (PI)	Peak 1 Area by Intensity ordered by area (%)	Peak 2 Area by Intensity ordered by area (%)	Zeta Potential (mV)	Peak 1 Mean by Intensity ordered by area (nm)
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 15:53	25/01/2024 15:53	25	128.7	0.2134	100			159.4
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 15:56	25/01/2024 15:56	25	107.1	0.1951	100			127.6
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 15:59	25/01/2024 15:59	25	106.9	0.1901	100			126.8
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 16:02	25/01/2024 16:02	25	105.5	0.1962	100			125.7
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 16:06	25/01/2024 16:06	25	106.7	0.1929	100			127
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 16:09	25/01/2024 16:09	25	113.5	0.2182	100			137.4
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 16:12	25/01/2024 16:12	25	105.4	0.211	100			127.2
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 16:15	25/01/2024 16:15	25	112.1	0.2147	100			135.4
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 16:18	25/01/2024 16:18	25	107.1	0.1891	100			125.8
NoData	Size	Completed	5mM MBCD no DNA	25/01/2024 16:22	25/01/2024 16:22	25	106.9	0.204	100			128.5
