Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.001666666707,201.3255615,0.0245833341,162.667511,0.04745833576,93.41064453,0.0700000003,142.7358551,0.164166674,196.3435059,0.14229168,134.9609222,0.1197500005,122.8916702,0.09800000489,159.5281525,0.1923124939,191.2754364,0.2152500004,147.9200134,0.2392499894,111.9079514,0.2610833347,102.7736206,
1.501666665,210.8401489,1.524208307,175.5041046,1.547145844,95.60619354,1.570062518,142.1781158,1.663812518,197.6069794,1.640958309,149.13414,1.617979169,129.6639862,1.596145868,158.3762512,1.692979217,193.7433014,1.715729117,149.8402863,1.739229202,115.755394,1.761958361,103.9098511,
3.001666784,207.4089813,3.02366662,178.2813568,3.047479153,93.93498993,3.070208311,142.1667023,3.165541649,197.8373566,3.142645836,156.142334,3.119999886,132.3392334,3.096291542,159.5793457,3.192500114,197.6272888,3.214396,159.4038391,3.237312555,114.3646469,3.260291576,99.30516815,
4.501666546,201.6642914,4.525791645,179.6858063,4.548666954,94.94972992,4.572125435,146.4232178,4.669958591,206.1122131,4.646979332,154.7841492,4.624062538,130.3934174,4.60112524,165.7953339,4.69681263,185.8968353,4.718729019,172.6005859,4.741666794,104.5313492,4.764625072,95.88217926,
6.001666546,204.3588104,6.024291515,191.7938232,6.047208309,94.94424438,6.066833496,144.1592712,6.162125111,196.2427826,6.138458252,160.7048798,6.115499973,125.8963318,6.092645645,165.1069946,6.190000057,193.6277161,6.213958263,168.6175385,6.236646175,113.3350601,6.259625435,101.8142929,
7.501666546,207.4740601,7.524458408,194.8504944,7.547375202,97.89228821,7.5703125,147.1168671,7.665124893,203.3645935,7.64329195,159.7395172,7.619291782,129.7822113,7.596333504,160.3131561,7.69220829,196.2282257,7.715146065,186.4661865,7.738125324,112.0586395,7.760979176,104.6024628,
9.001666069,201.0576324,9.024291992,201.0310974,9.047208786,95.37084961,9.07012558,143.548645,9.163395882,203.0870209,9.140479088,169.0046997,9.116833687,129.8322601,9.095145226,170.1037903,9.191875458,188.1749573,9.214645386,182.429245,9.237375259,119.0878296,9.260812759,102.2476349,
10.50166607,215.2275848,10.52431202,196.4498291,10.54729176,92.3645401,10.56904221,150.1756592,10.66431236,212.0223694,10.6416254,168.5396729,10.61879158,133.5523834,10.59599972,161.5312042,10.68914604,192.1774902,10.71104145,196.4583282,10.73397923,113.8651733,10.75695801,102.3364487,
12.00166607,202.6034393,12.02397823,204.1282196,12.04654121,90.89601135,12.07039547,145.1259613,12.1675415,206.405014,12.14516735,166.7397766,12.12129211,132.5459442,12.09933376,170.5041656,12.1943121,199.8517151,12.21622944,195.2298126,12.23881245,118.1204147,12.26120853,102.3489456,
